Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,ProbDef
0,2,36,23,1,1,2,45,0.0,2500,0,400,400,0.4271809298094153
14,3,24,51,2,1,2,75,0.0,1000,0,450,650,0.08768893388905924
10,2,36,39,2,1,3,75,0.0,3000,0,1000,1394,0.23877659112226
12,5,36,35,1,1,1,35,0.0,0,0,1100,1542,0.09523874575719543
32,2,24,62,2,1,3,45,0.0,8500,0,700,1200,0.017978170446457047
10,2,24,56,2,1,3,45,0.0,13500,0,500,1560,0.020598539181141733
7,2,48,32,2,1,1,75,0.0,3000,0,800,1200,0.2135791124289363
1,1,54,36,2,1,1,70,0.0,0,0,950,950,0.5385483745445779
30,2,60,64,2,1,1,45,0.0,14000,0,1125,1300,0.015237227088723543
5,1,48,31,1,1,1,44,0.0,0,0,1300,1700,0.3879133722223755
24,2,60,42,2,1,1,75,0.0,4000,0,900,1167,0.04099795838846136
0,2,60,61,3,1,4,35,0.0,50000,0,950,1150,0.02864636238939468
0,2,60,32,2,2,1,45,0.0,7000,3000,1250,1566,0.5744760340893288
2,2,60,43,2,1,2,75,0.0,3000,0,1500,1552,0.6454433185938041
1,5,60,26,1,1,2,35,0.0,0,0,1150,1300,0.3884117026602139
1,2,60,49,3,1,3,35,0.0,15900,4500,2100,2104,0.4526386624012576
15,2,36,47,2,1,1,75,0.0,3500,0,1500,2154,0.043053420111178124
2,1,36,27,4,1,1,48,0.0,0,0,450,545,0.3999276278461553
25,2,36,52,2,1,3,60,0.0,15000,0,750,1778,0.010039786579536166
8,2,60,28,2,1,1,60,0.0,4000,1000,1600,1718,0.3571034483845893
5,2,60,31,2,1,1,75,0.0,4000,0,900,1500,0.20600466452926425
0,1,60,32,2,1,1,105,0.0,0,0,1200,1274,0.2637231990519827
5,2,36,51,2,1,3,75,0.0,2100,1200,900,1015,0.308704794382258
3,5,12,37,2,1,3,60,0.0,500,0,500,1701,0.11734745708585903
1,1,48,29,2,2,3,85,0.0,0,0,1000,1345,0.7807171718493736
7,5,60,26,1,1,1,35,0.0,0,0,1000,1238,0.21004643992949573
4,5,30,27,1,1,1,45,0.0,5000,0,500,1048,0.15747550287066686
6,2,24,63,2,1,1,60,0.0,4000,0,600,1048,0.12198498664686487
14,2,24,55,2,1,1,90,0.0,5000,0,800,1324,0.0010486162880342755
3,1,60,28,2,1,1,70,0.0,0,0,1830,2201,0.3057818119608235
8,1,48,31,2,1,1,90,0.0,0,0,1100,1430,0.2850549558764449
4,5,42,27,1,1,1,35,0.0,0,0,600,926,0.25807974277476364
22,2,24,40,2,1,1,75,0.0,3000,0,1000,1500,0.05089899023713855
2,2,36,35,2,1,1,75,0.0,3000,0,1000,1542,0.2759198515318617
15,3,60,43,2,1,1,75,0.0,3000,0,1350,1360,0.1956099370979296
10,2,18,34,2,1,3,75,0.0,4000,0,600,1000,0.18191727118607567
4,2,60,37,2,1,1,60,0.0,3000,0,1200,1564,0.18257047030501475
9,2,60,53,2,1,1,45,0.0,2500,0,850,1205,0.07536332368519769
22,1,60,46,2,1,1,93,0.0,7500,0,2000,2200,0.11745039183689016
18,5,36,36,2,1,3,60,0.0,0,0,900,2214,0.014040370852381032
1,3,60,46,2,1,1,60,0.0,5500,800,1000,1137,0.31554298116696977
14,2,48,43,2,1,1,45,0.0,9000,0,600,1025,0.02848144872201078
8,2,36,31,2,2,3,75,0.0,9000,4000,800,1593,0.05836279002079716
5,2,24,43,2,1,1,75,0.0,3000,0,700,1735,0.1523735879387973
19,1,60,38,2,1,1,86,0.0,0,0,1000,1132,0.1477437969529649
14,2,12,37,2,1,3,90,0.0,4000,0,500,1338,0.006464098410067684
0,6,36,46,2,2,4,45,0.0,0,0,900,1100,0.8015656918862928
9,1,36,55,2,1,1,70,0.0,30000,0,1750,2276,0.04558083850819373
29,2,48,56,2,1,1,45,0.0,3000,0,900,1360,0.02284747347471992
10,2,36,55,2,1,1,60,0.0,4000,0,1000,1436,0.21126319508070115
10,5,36,52,2,1,1,60,0.0,0,0,550,612,0.12995553763415965
1,2,36,29,2,1,1,60,0.0,4500,0,850,1100,0.4926234982069692
11,2,60,39,5,2,1,35,0.0,2500,0,1000,1300,0.12527332391107412
10,2,60,38,2,1,3,75,0.0,9000,0,1000,2089,0.036412422977981335
5,2,24,24,1,1,1,35,0.0,6000,3000,500,2262,0.054464277921120616
10,1,60,28,1,1,1,47,0.0,0,0,600,1054,0.10553764071412784
27,2,60,53,2,1,1,60,0.0,10000,0,1426,1426,0.05167588635333252
0,1,60,25,1,1,2,40,0.0,0,0,1040,1048,0.6598743012513459
25,1,60,62,2,1,1,60,0.0,0,0,1000,1292,0.033203176189245766
3,5,60,29,1,1,1,35,0.0,0,0,950,1177,0.31244779107964
9,5,60,32,1,2,1,35,0.0,0,0,1490,1490,0.536090863339147
4,1,36,21,2,1,3,101,0.0,6000,0,750,850,0.10172005336670628
6,1,36,38,2,1,3,95,0.0,25000,21400,800,1011,0.08529308506011063
9,1,48,56,2,1,3,140,0.0,0,0,1400,1571,0.1559774064204051
3,2,36,41,2,1,3,75,0.0,3000,0,1000,1000,0.4120369396607352
22,6,36,46,2,1,1,45,0.0,0,0,250,270,0.03622552240445479
3,2,60,54,3,1,4,35,0.0,4000,0,950,1382,0.3201835663601256
30,2,36,51,2,1,3,120,0.0,15000,0,1500,1713,0.04426936041132855
8,1,60,52,2,1,1,89,0.0,4000,0,800,1086,0.14707848175566354
38,2,48,57,2,1,3,45,0.0,12000,0,1500,3262,0.003686647375085325
2,1,60,33,2,1,1,73,91.66940031135583,0,0,1100,1610,0.30393683414290273
4,2,60,33,2,1,1,75,92.14185916895767,6000,1000,600,1030,0.1655897731883202
0,1,36,29,2,1,2,78,95.67770388834407,0,0,650,650,0.4824043169427236
2,6,48,23,1,1,1,35,94.4585554507773,0,0,1950,2175,0.5054210033016385
8,2,24,33,2,1,1,75,92.51505649921779,4500,0,400,1780,0.010464651065518854
1,1,36,24,2,1,2,76,96.12479478782623,0,0,900,950,0.552839438208211
6,5,60,28,2,1,3,90,89.40737584015423,7000,0,1200,1211,0.11900194070766325
5,2,60,27,2,1,1,45,93.93383948506073,5000,1400,1600,1650,0.44262116044260136
13,5,36,33,1,1,1,35,94.49782785473538,0,0,350,350,0.12273350732018935
11,1,60,32,2,1,1,79,90.8751488920838,0,0,950,1117,0.1540163790552663
10,2,24,39,2,1,1,45,96.60579649603349,9000,3000,1500,2468,0.08381691585868975
20,2,60,51,2,1,3,90,93.15575421739067,12500,2500,1340,1740,0.02578927771294409
13,2,48,29,2,1,1,60,94.95411903684177,3000,0,670,963,0.04644749273583899
2,2,36,32,2,1,1,75,91.95810471965929,1500,400,1200,1646,0.4869884581980445
3,2,36,40,2,2,3,35,91.43980136442845,10000,0,800,800,0.4363282197315661
12,2,36,47,2,1,1,75,91.6821444048117,3500,0,460,470,0.16223680320527487
20,2,24,66,2,1,1,45,93.95885475009501,10000,0,950,1370,0.03971657675916876
3,3,48,39,4,1,3,35,90.1801755833208,4000,1500,700,839,0.16972086962515898
27,2,60,50,2,1,1,75,92.34429337469503,5500,1000,600,1346,0.010643752247173923
4,1,60,25,2,1,1,57,92.40500647800242,0,0,900,1350,0.26458833465739195
1,2,60,27,2,1,2,75,91.546474389197,4000,3000,1800,2100,0.5919548914495113
18,1,60,54,2,1,1,66,89.95837232086339,0,0,1300,1307,0.08513349155123845
12,1,60,42,2,1,1,114,93.98331566283798,0,0,1100,1126,0.04884399663251219
12,2,48,35,4,1,3,45,95.4141393114958,200000,0,2380,4786,3.601013607507995e-07
0,5,60,23,1,1,2,35,91.15150014137672,0,0,1400,1478,0.5634048665736109
12,2,60,52,2,1,1,75,91.0905199417568,12000,0,1550,1568,0.12080914905314732
0,5,24,22,1,1,2,35,91.10964300869138,0,0,650,1056,0.42551442971079306
10,6,18,48,2,1,1,90,92.48201020540442,0,0,1000,1608,0.09624140600680224
2,2,60,25,2,1,1,75,94.27099127968702,3000,0,950,1179,0.32241595611527696
10,6,60,26,2,1,1,45,96.4073928978999,0,0,1400,1524,0.3510912128931991
8,2,60,28,2,1,1,75,94.4107811967973,4000,0,1300,1730,0.16305034304646684
20,2,30,62,2,1,3,60,89.01925112739269,24000,9000,600,823,0.01935180654017575
0,1,60,33,2,1,3,65,89.78344988716547,0,0,700,800,0.3285718166602347
16,5,60,41,2,1,1,75,88.5863444472335,0,0,1300,1482,0.0603090250982169
4,2,60,29,2,1,2,60,89.46130832511957,5000,2500,900,1110,0.2855766871190057
1,1,60,37,1,1,1,45,90.92506769854569,0,0,1150,1555,0.34998740762371816
0,2,60,31,2,1,1,60,90.721238891091,3500,0,1100,1170,0.4771008399694896
15,2,12,50,2,1,3,45,91.30722738213355,2000,0,500,886,0.102301662552177
13,1,60,42,4,2,1,47,92.17101426171979,0,0,800,1395,0.1875248264855573
19,2,36,33,2,1,1,60,95.86039489503997,6700,2000,1000,2084,0.04242519099298785
15,2,24,54,2,1,3,90,94.2324452014634,150000,0,3800,8800,1.1866991177181265e-06
9,1,60,40,2,1,1,119,93.45538474497799,6000,1947,900,1211,0.02236938462858866
12,5,60,31,4,2,1,35,96.93359702703101,0,0,1300,1300,0.4861797475556418
0,2,36,35,2,2,1,105,93.8468982292242,5200,2000,850,850,0.7873088215492567
14,2,60,64,2,1,3,60,91.7413091448448,10000,0,700,1204,0.01774491227992965
10,5,24,29,1,1,3,35,93.9093713550763,0,0,600,1528,0.11818839346253908
2,2,48,33,2,1,1,45,91.26830262201739,6000,0,1200,1298,0.3331794964699339
15,2,18,35,2,1,3,60,92.41088245365485,4000,0,300,600,0.03835575145107413
1,5,48,28,1,1,1,35,91.51423546435039,0,0,1000,1320,0.3619209341648961
0,6,60,25,2,1,2,60,93.38540125852182,0,0,1300,1380,0.6410640687550611
0,5,60,23,1,1,2,35,93.90367827291375,0,0,1400,1426,0.3644329382091584
3,2,24,30,2,1,3,75,92.5131528613558,12000,900,1500,5200,0.008717103515821866
8,1,36,36,2,1,1,78,92.45990323936081,0,0,900,1503,0.15253783403375262
5,6,60,22,1,1,1,45,88.64951857676006,0,0,700,1422,0.05240169178477485
9,2,24,45,2,1,1,75,89.8802401731118,4000,0,500,1430,0.08538212620772045
4,2,30,47,2,1,3,90,93.67795879603196,15000,0,1550,1578,0.4016756283360626
14,3,48,36,2,1,1,75,91.52586462725101,3500,200,1100,1250,0.15116954598206267
3,2,36,36,1,2,3,35,93.27591075845771,16000,0,1500,2260,0.07582980627650769
22,1,36,60,2,1,1,60,90.2315909625643,0,0,200,280,0.03906001992987889
20,1,48,59,2,1,1,57,88.73390867764796,0,0,800,1298,0.048172439068508786
6,2,48,58,2,2,3,60,91.70706104859167,86000,0,930,945,0.0031406825492312274
23,2,12,37,2,1,1,45,91.93876675939985,5000,0,900,1694,0.03190295134918124
5,2,36,32,2,1,3,75,92.84774064862123,6000,0,600,700,0.37235202046202304
8,1,48,26,1,1,1,42,93.55120641658621,0,0,600,1290,0.1510299282765597
5,2,60,40,2,1,1,75,91.58873442377039,4900,0,1300,1581,0.3583357293167571
20,2,48,55,2,1,1,45,93.30150685989443,5000,0,1000,1383,0.030417029486154736
11,1,60,30,2,1,1,77,93.00552050342648,0,0,1350,1637,0.2173706135130448
25,5,54,43,2,1,1,75,91.61110551738645,7000,0,1275,1275,0.07498329344222315
2,1,60,28,2,1,1,74,90.26316209566693,0,0,1400,1400,0.5642640023124403
20,2,24,47,2,1,3,75,96.17863613894943,5000,0,600,832,0.0300372743549231
9,2,36,29,1,1,1,35,94.7605912863582,3500,0,1886,2886,0.1655484016028395
18,5,60,34,2,1,1,60,90.32117338412786,6550,0,600,1346,0.022480886536609682
20,2,60,53,2,2,3,75,94.48354839877976,6500,0,800,1138,0.024009119869669054
6,2,12,44,2,1,1,45,90.85220247249534,15000,0,300,1801,0.02595291379058997
0,2,48,49,2,1,2,45,93.98961282046065,2000,0,900,1200,0.4268127332731141
0,1,36,51,2,1,1,113,93.67969280166142,0,0,950,950,0.4036885036711709
14,4,60,34,2,1,1,75,92.00032159733654,8000,0,1400,1589,0.2003720810939489
10,2,48,42,2,1,3,75,93.3050391399175,4000,120,1200,1617,0.14772284777121206
19,2,60,34,2,1,1,75,90.88208760015662,5000,0,1200,1200,0.1405594153017152
11,2,60,46,2,1,1,75,92.16993154559913,3500,0,1400,2194,0.0892670812729694
1,2,48,31,2,1,1,75,91.1651632351372,2500,96,1100,1642,0.21646793717858528
13,6,60,31,2,1,1,60,93.6353101882987,0,0,1200,1423,0.1711943820919167
4,1,12,33,2,1,1,78,92.34174841405282,0,0,600,1600,0.1395793222526777
9,1,24,30,1,2,1,46,92.99540397902342,0,0,700,700,0.5734859591275545
1,2,24,27,2,1,1,45,91.13377810700156,3000,3700,200,300,0.397595637781722
4,2,36,48,2,1,3,120,93.63985378318425,5000,0,1000,1165,0.20353903944699164
2,2,60,33,2,1,1,75,91.53147128256683,6000,0,1000,1365,0.214368867203265
2,2,12,44,2,1,1,90,93.0244148008518,7500,0,500,1706,0.087615939795979
21,2,60,57,2,1,3,60,90.35466501865444,8000,0,1000,1700,0.03927018331461924
12,2,60,34,2,2,1,75,96.37992222608133,5500,4000,950,1462,0.2806722374476719
9,1,60,38,2,1,1,87,91.2884651751124,0,0,1177,1300,0.3294280272844887
2,1,36,35,2,1,1,126,92.45034380401853,0,0,870,1122,0.14639178446458395
24,2,60,52,2,1,1,45,92.1354521877833,4000,0,1200,1257,0.08207612292498069
1,5,60,28,1,1,2,35,90.47679251759534,0,0,1050,1387,0.39238367431532056
15,2,48,46,2,1,1,90,91.65326932779841,12000,0,1000,1266,0.08355891673822176
19,2,60,56,2,2,1,45,92.78595390643203,8000,0,1700,2195,0.040681115217364415
10,2,24,52,2,1,1,75,91.98986004368217,4500,700,700,2004,0.010717647696679716
19,2,60,35,2,1,1,75,92.2477041745031,4000,0,1100,1203,0.07427613431149535
4,5,48,29,2,1,1,45,94.31348121452095,0,0,1200,1374,0.2357056935664659
1,5,60,22,1,1,1,35,90.82201980027824,3000,0,1500,1514,0.5443847753489844
2,2,24,33,2,2,1,75,90.4290811098772,2000,900,400,750,0.4979097818207306
5,2,24,41,2,1,3,105,93.57042747200542,10000,0,800,1894,0.128776952108083
11,2,36,37,2,1,1,75,93.92629820201346,3000,0,1000,1048,0.21312416125606093
23,2,24,46,2,1,1,75,93.17536174596913,4000,0,400,1369,0.018053050579976155
4,6,36,19,1,1,2,35,90.50284254818887,0,0,1000,1035,0.5446786412070543
5,5,36,22,1,1,1,35,95.00532873007226,0,0,750,1218,0.23673835011117145
15,5,60,31,2,1,1,45,91.63161444874233,0,0,1200,1637,0.0837721001675977
1,3,60,44,2,1,2,45,90.1803950422067,2000,0,750,953,0.2792158924429603
9,2,60,48,2,2,1,60,92.83849790831127,2500,0,1100,1212,0.475552121261285
4,3,36,31,2,1,1,60,92.66974151284982,3000,0,1000,1218,0.3236266127416074
20,2,24,53,2,1,3,45,90.72659669105327,100000,0,1000,1419,0.000803764438654096
10,6,60,36,2,1,1,90,92.2480810105929,3000,0,1100,1100,0.16739317042859966
2,3,60,46,2,1,3,105,92.98839868919283,4000,500,900,987,0.2987363708120989
15,2,60,37,2,1,1,60,92.1063351837854,7000,0,1900,2400,0.0379160589562389
8,2,60,34,2,1,1,60,97.00446811121341,6300,4000,1370,1375,0.30199130370351385
4,2,48,36,2,1,1,60,91.56262410701635,4000,0,1000,1595,0.1893089930038453
4,2,60,64,1,1,4,35,92.43555003877385,9000,0,984,1054,0.20438545111342735
1,2,36,27,1,1,1,35,95.72904062066017,9000,0,1000,1651,0.11777315225525828
10,2,30,26,2,1,1,75,93.43775949648736,1434,0,300,1542,0.0417022978556186
32,2,60,53,2,1,1,60,89.31940984852753,5000,0,2000,2014,0.056465112211751586
12,2,60,50,2,1,1,45,94.45203718043632,9500,200,1800,2624,0.052649189708370465
0,5,60,21,1,1,2,35,91.97508964782924,0,0,1000,1135,0.4613029999062421
20,5,24,40,1,1,1,35,91.31376049198361,0,0,600,1105,0.055638525250683406
6,1,60,49,2,2,2,100,88.68219731315199,30000,0,1500,1500,0.4813148728722156
4,1,24,40,2,2,1,56,95.05483341650951,0,0,800,1200,0.3707813439603392
1,1,60,37,1,1,1,45,91.75024578809696,0,0,1150,1555,0.34998740762371816
2,1,48,25,2,1,1,57,89.31661408339188,0,0,800,2251,0.09691823242381158
25,2,18,40,2,1,1,45,94.29758898628538,4000,0,455,1542,0.015301523986668356
1,1,36,22,2,1,1,62,89.60030722898658,0,0,1200,2186,0.2411291706654603
10,2,48,49,2,1,3,45,96.1531005957725,9000,0,1700,1700,0.3391819934526358
2,2,60,34,2,1,1,45,93.39299487644031,7000,0,600,1180,0.08575466715199452
20,2,36,42,2,1,3,90,90.5987500800443,4500,0,1500,1750,0.10411875185433853
10,2,48,28,2,2,2,60,92.51143338729166,2500,1500,600,875,0.3878678662810365
1,2,60,30,2,1,3,35,91.62949039404963,3500,1000,1000,1514,0.15262673058176535
1,2,60,25,4,2,2,45,91.69180032727759,6000,3500,1700,1950,0.5552416408378757
0,5,60,22,1,1,2,35,92.24637261981793,0,0,950,1462,0.3703042840028805
5,5,36,27,1,1,1,35,91.73544549344531,4000,0,600,1098,0.07382175743395293
3,5,60,26,1,1,1,45,91.10414307313002,0,0,800,840,0.13121162515519846
0,2,48,28,2,1,1,45,92.22026395461661,1500,0,1260,1634,0.5163574136890979
6,2,48,35,2,1,3,45,92.46159615516758,7000,0,1540,1603,0.3364079738619754
21,3,60,51,2,1,1,45,90.59238720970355,3000,0,1200,1200,0.07207319722689785
5,1,60,24,2,1,1,73,92.43737554987355,0,0,700,1360,0.16916466820826473
12,1,60,34,2,1,1,94,90.95971826763926,0,0,1200,1236,0.22171372021437927
13,2,42,34,2,1,1,105,92.19846057298017,2500,300,1100,1395,0.1613836309126021
10,2,60,49,2,1,3,60,92.69581744949494,23000,0,1200,1390,0.09799441012928396
6,2,60,28,2,1,1,60,92.92752686484897,5000,0,700,1355,0.12505640821265002
18,1,60,57,2,1,1,77,90.28827943190993,4000,0,1300,1604,0.06892238290733367
15,2,60,63,2,1,1,60,91.2833030340226,3500,266,1000,1241,0.01874408576307357
0,1,12,37,2,1,4,88,91.4643397802885,0,0,250,375,0.6167747105865634
2,2,36,27,2,1,1,45,87.4945268866513,6000,0,700,1045,0.2199689929774708
18,1,60,39,2,1,1,93,91.53348384987083,0,0,800,1781,0.02527783497409241
12,2,36,64,1,2,3,60,96.01653250076521,4500,0,900,900,0.10868064587329354
25,2,48,49,2,1,3,105,91.0517147442055,12000,4200,1660,1698,0.09883019241607488
8,2,12,49,2,1,3,60,89.24068600956532,6000,0,200,1048,0.08380353570460518
20,2,36,45,2,1,3,75,94.36047516559731,5000,0,1000,2200,0.007135362136605711
3,5,60,27,1,1,1,35,90.926700826951,5000,0,770,1119,0.14128851805187936
2,5,36,30,2,1,1,45,91.60164146226043,0,0,700,1090,0.18981018093985286
2,2,36,33,2,1,3,75,92.06312884563076,16000,500,3000,4100,0.4106944107252789
15,2,36,40,2,1,1,60,91.99137055989705,8500,480,700,1400,0.023220330889747873
3,2,60,30,4,1,1,60,90.77351793027036,15000,0,1000,2010,0.06647368203582323
4,5,12,30,2,1,1,60,90.72834654942541,16000,0,1900,2014,0.17978130055034494
3,2,60,25,2,1,2,60,91.99628679715548,3500,200,1000,1342,0.32813364656498506
9,1,60,40,1,1,1,44,87.39779410270914,0,0,1000,1132,0.25100025916458474
4,3,42,50,2,1,3,60,91.77239046226902,7000,0,900,1048,0.2752074446645206
2,2,36,23,1,1,1,35,92.9595382353804,5500,0,750,1218,0.2852622991540025
1,6,48,28,1,1,2,35,91.52480759245522,0,0,900,1114,0.3296798631405409
2,1,60,27,2,1,1,56,92.3789526047381,0,0,650,2132,0.06945226318316193
2,5,36,19,2,1,1,35,89.8063138820008,4000,100,400,570,0.1865587023725235
3,5,60,39,2,1,1,45,92.01723813509363,0,0,1000,1094,0.3584668382098127
8,3,36,39,2,1,1,75,92.78594286760115,2500,0,550,550,0.24695107968386726
10,2,48,55,3,1,1,35,91.37013111800766,9000,0,1200,1255,0.1150584341254851
10,2,36,32,2,1,3,60,88.81929154159971,40000,3000,2000,4138,0.004917120409221574
5,2,60,54,2,1,3,60,95.57785660979597,6000,1700,1700,1714,0.5898469336204877
20,2,48,58,2,1,3,60,89.92997531866985,35000,0,1100,1150,0.004670731561166165
5,2,24,37,2,1,3,75,92.42728742449385,14000,0,1500,2673,0.012081541192631088
20,5,60,36,2,1,3,60,90.48139345687102,0,0,1200,1630,0.08640369944628687
12,2,60,28,2,1,1,45,93.47650034002261,6000,400,1100,1544,0.10008911531919876
13,2,60,38,2,1,1,75,89.65084917229471,6500,3600,1000,1195,0.08963382980864948
11,2,36,26,2,1,1,60,88.85388729142643,5000,1300,400,1206,0.06066598215676002
17,2,60,41,2,1,3,75,91.84592969803965,13500,3700,1400,2050,0.04059907322817783
6,2,36,42,2,1,1,60,93.0935557392551,6000,0,1200,1513,0.2763279267710093
22,2,6,46,2,1,3,90,91.11780864464549,75000,0,3000,3300,0.06114888476973158
25,1,60,52,2,1,1,73,92.50311023284407,0,0,1030,1250,0.05477422048528681
8,2,60,30,2,1,2,60,94.18083620161669,3000,500,1000,1339,0.27816672528199393
19,2,60,47,2,2,3,90,94.4024904347512,12500,1000,875,875,0.17712734265408794
3,2,18,66,2,1,4,45,93.02029815365778,12000,0,500,1101,0.23376805967911965
35,2,60,54,2,1,1,45,91.50816166134811,4000,0,1000,1568,0.0051733605149438715
0,2,42,65,2,1,4,45,93.3415683217427,4000,2000,750,1194,0.4160433527742098
7,6,60,25,2,1,1,45,92.33115745514853,0,0,950,1378,0.23672724517277466
3,2,60,31,1,1,1,35,91.6882291907467,4000,0,1050,1139,0.2803644821916953
1,5,24,23,1,1,1,35,91.50396697654739,0,0,350,350,0.4694185189546055
5,2,60,35,2,1,1,75,91.21568563019396,3000,400,1150,1406,0.4245985180598077
2,2,60,47,2,1,1,90,92.95576193278345,4500,0,1200,1497,0.4003041877433486
13,1,36,28,2,1,1,59,94.6257291704777,0,0,1400,1600,0.31312508462789085
27,1,60,50,2,2,1,87,89.28036934254278,0,0,1300,1350,0.1968040910500564
3,6,60,25,1,1,1,35,92.67478867719149,0,0,2000,2032,0.2449408375792272
0,2,36,39,2,1,1,60,94.02648394579583,3000,0,1400,2610,0.1988152518574717
1,3,12,46,2,1,4,90,93.38689155032621,2000,600,500,1193,0.4566870412571704
1,1,60,36,2,2,1,85,94.45797288950295,0,0,1200,1275,0.7711583410451975
10,2,36,39,2,2,3,75,92.84148844849844,15000,0,3250,3750,0.7952250907089302
1,2,60,25,2,1,2,60,94.22876579114038,9000,3500,1300,2500,0.04190735188244744
6,2,36,49,2,1,3,60,93.7800386571597,22000,0,1000,1790,0.11123691652648056
3,1,48,52,2,1,1,96,89.05068610483545,0,0,1400,1419,0.40026392184465603
10,1,30,34,4,1,1,45,88.61488573727976,0,0,700,1480,0.15639770634232944
0,2,36,24,1,1,2,45,88.72506662734051,8000,0,600,1542,0.1766800903526996
6,2,48,24,2,1,1,45,91.01964056448267,3000,0,600,1380,0.04755861408681416
5,2,42,33,2,2,1,45,93.95469100006285,22000,2500,1200,1888,0.23587891069768546
1,1,48,31,2,1,1,87,94.80426446097114,0,0,1100,1672,0.4093483339944069
37,2,48,63,2,1,1,60,94.66580955664305,3500,0,700,808,0.00990098509004307
1,5,60,23,1,1,1,35,95.90591197167868,0,0,1100,1107,0.4512062025299678
40,2,42,61,2,1,1,90,90.33326284605154,12000,0,1000,1335,0.002605886702376413
5,5,60,28,1,1,1,35,91.95698874483261,0,0,1190,1390,0.17925897134142002
11,1,60,58,2,1,1,71,93.29347262909778,3000,0,1150,1363,0.1817834437047529
23,2,60,41,2,1,1,75,91.73240362713828,3000,0,1450,1482,0.11001509043270133
23,2,60,38,2,1,1,45,90.12212028647097,3500,0,1900,2357,0.004743580345606816
5,2,60,27,2,1,1,75,91.40931183364765,3000,0,600,850,0.29834992284773243
5,2,48,40,2,1,3,75,94.61397538245181,6000,0,825,1617,0.1427911361065329
31,2,60,59,2,1,1,60,91.26067884521173,6500,0,1080,1114,0.040868703023741
10,2,60,38,2,2,1,90,88.5793462054855,3000,1749,1030,1095,0.5788382748739359
8,6,60,28,2,1,1,45,90.80894000423937,0,0,700,1529,0.033018720063701365
2,2,36,49,2,2,3,75,94.80984805700537,14000,0,850,1263,0.40885806725524143
3,3,48,38,2,1,3,90,90.70679284637833,2500,750,1550,1600,0.5523179386528528
35,2,48,52,2,1,1,60,93.33839414126581,5000,0,1200,1400,0.02147539026551393
3,2,48,37,3,1,1,45,95.2129761769161,6000,3000,1000,1520,0.2092141351592898
25,2,60,42,2,1,1,60,93.86098763602158,9500,0,1500,1617,0.062433132476231334
8,1,60,54,2,1,3,173,92.47965029277918,5000,0,1100,1500,0.18859593373858785
2,2,60,30,2,1,1,60,90.0846455771798,3000,0,1000,1705,0.15641622821031734
2,2,30,26,2,1,1,60,96.9097043926826,3500,250,600,1292,0.3390651763041945
17,2,48,49,2,1,3,60,94.01037515010718,7000,0,1100,1294,0.08623926833672924
3,2,60,36,2,1,1,60,91.71858681429083,4600,1260,1400,1936,0.17800379125853694
