Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
2,1,36,27,4,1,1,48,128,0,0,450,545
25,2,36,52,2,1,3,60,150,15000,0,750,1778
8,2,60,28,2,1,1,60,145,4000,1000,1600,1718
5,2,60,31,2,1,1,75,90,4000,0,900,1500
0,1,60,32,2,1,1,105,301,0,0,1200,1274
5,2,36,51,2,1,3,75,200,2100,1200,900,1015
3,5,12,37,2,1,3,60,150,500,0,500,1701
1,1,48,29,2,2,3,85,100,0,0,1000,1345
7,5,60,26,1,1,1,35,100,0,0,1000,1238
4,5,30,27,1,1,1,45,100,5000,0,500,1048
6,2,24,63,2,1,1,60,155,4000,0,600,1048
14,2,24,55,2,1,1,90,715,5000,0,800,1324
3,1,60,28,2,1,1,70,245,0,0,1830,2201
8,1,48,31,2,1,1,90,150,0,0,1100,1430
4,5,42,27,1,1,1,35,70,0,0,600,926
22,2,24,40,2,1,1,75,190,3000,0,1000,1500
2,2,36,35,2,1,1,75,152,3000,0,1000,1542
15,3,60,43,2,1,1,75,126,3000,0,1350,1360
10,2,18,34,2,1,3,75,181,4000,0,600,1000
4,2,60,37,2,1,1,60,185,3000,0,1200,1564
9,2,60,53,2,1,1,45,170,2500,0,850,1205
22,1,60,46,2,1,1,93,176,7500,0,2000,2200
18,5,36,36,2,1,3,60,238,0,0,900,2214
1,3,60,46,2,1,1,60,115,5500,800,1000,1137
14,2,48,43,2,1,1,45,200,9000,0,600,1025
8,2,36,31,2,2,3,75,411,9000,4000,800,1593
5,2,24,43,2,1,1,75,93,3000,0,700,1735
19,1,60,38,2,1,1,86,108,0,0,1000,1132
14,2,12,37,2,1,3,90,500,4000,0,500,1338
0,6,36,46,2,2,4,45,45,0,0,900,1100
9,1,36,55,2,1,1,70,250,30000,0,1750,2276
29,2,48,56,2,1,1,45,100,3000,0,900,1360
10,2,36,55,2,1,1,60,70,4000,0,1000,1436
10,5,36,52,2,1,1,60,150,0,0,550,612
1,2,36,29,2,1,1,60,70,4500,0,850,1100
11,2,60,39,5,2,1,35,263,2500,0,1000,1300
10,2,60,38,2,1,3,75,200,9000,0,1000,2089
5,2,24,24,1,1,1,35,78,6000,3000,500,2262
10,1,60,28,1,1,1,47,120,0,0,600,1054
27,2,60,53,2,1,1,60,125,10000,0,1426,1426
0,1,60,25,1,1,2,40,50,0,0,1040,1048
25,1,60,62,2,1,1,60,146,0,0,1000,1292
3,5,60,29,1,1,1,35,70,0,0,950,1177
9,5,60,32,1,2,1,35,105,0,0,1490,1490
4,1,36,21,2,1,3,101,413,6000,0,750,850
6,1,36,38,2,1,3,95,500,25000,21400,800,1011
9,1,48,56,2,1,3,140,350,0,0,1400,1571
3,2,36,41,2,1,3,75,200,3000,0,1000,1000
22,6,36,46,2,1,1,45,138,0,0,250,270
3,2,60,54,3,1,4,35,80,4000,0,950,1382
30,2,36,51,2,1,3,120,208,15000,0,1500,1713
8,1,60,52,2,1,1,89,137,4000,0,800,1086
38,2,48,57,2,1,3,45,58,12000,0,1500,3262
2,1,60,33,2,1,1,73,130,0,0,1100,1610
4,2,60,33,2,1,1,75,123,6000,1000,600,1030
0,1,36,29,2,1,2,78,180,0,0,650,650
2,6,48,23,1,1,1,35,140,0,0,1950,2175
8,2,24,33,2,1,1,75,315,4500,0,400,1780
1,1,36,24,2,1,2,76,164,0,0,900,950
6,5,60,28,2,1,3,90,325,7000,0,1200,1211
5,2,60,27,2,1,1,45,135,5000,1400,1600,1650
13,5,36,33,1,1,1,35,109,0,0,350,350
11,1,60,32,2,1,1,79,185,0,0,950,1117
10,2,24,39,2,1,1,45,217,9000,3000,1500,2468
20,2,60,51,2,1,3,90,300,12500,2500,1340,1740
13,2,48,29,2,1,1,60,253,3000,0,670,963
2,2,36,32,2,1,1,75,101,1500,400,1200,1646
3,2,36,40,2,2,3,35,200,10000,0,800,800
12,2,36,47,2,1,1,75,124,3500,0,460,470
20,2,24,66,2,1,1,45,143,10000,0,950,1370
3,3,48,39,4,1,3,35,250,4000,1500,700,839
27,2,60,50,2,1,1,75,135,5500,1000,600,1346
4,1,60,25,2,1,1,57,115,0,0,900,1350
1,2,60,27,2,1,2,75,160,4000,3000,1800,2100
18,1,60,54,2,1,1,66,214,0,0,1300,1307
12,1,60,42,2,1,1,114,390,0,0,1100,1126
12,2,48,35,4,1,3,45,500,200000,0,2380,4786
0,5,60,23,1,1,2,35,95,0,0,1400,1478
12,2,60,52,2,1,1,75,200,12000,0,1550,1568
0,5,24,22,1,1,2,35,85,0,0,650,1056
10,6,18,48,2,1,1,90,214,0,0,1000,1608
2,2,60,25,2,1,1,75,140,3000,0,950,1179
10,6,60,26,2,1,1,45,60,0,0,1400,1524
8,2,60,28,2,1,1,75,180,4000,0,1300,1730
20,2,30,62,2,1,3,60,300,24000,9000,600,823
0,1,60,33,2,1,3,65,200,0,0,700,800
16,5,60,41,2,1,1,75,242,0,0,1300,1482
4,2,60,29,2,1,2,60,155,5000,2500,900,1110
1,1,60,37,1,1,1,45,100,0,0,1150,1555
0,2,60,31,2,1,1,60,105,3500,0,1100,1170
15,2,12,50,2,1,3,45,166,2000,0,500,886
13,1,60,42,4,2,1,47,120,0,0,800,1395
19,2,36,33,2,1,1,60,115,6700,2000,1000,2084
15,2,24,54,2,1,3,90,350,150000,0,3800,8800
9,1,60,40,2,1,1,119,442,6000,1947,900,1211
12,5,60,31,4,2,1,35,101,0,0,1300,1300
0,2,36,35,2,2,1,105,122,5200,2000,850,850
14,2,60,64,2,1,3,60,250,10000,0,700,1204
10,5,24,29,1,1,3,35,90,0,0,600,1528
2,2,48,33,2,1,1,45,160,6000,0,1200,1298
15,2,18,35,2,1,3,60,300,4000,0,300,600
1,5,48,28,1,1,1,35,83,0,0,1000,1320
0,6,60,25,2,1,2,60,60,0,0,1300,1380
0,5,60,23,1,1,2,35,205,0,0,1400,1426
3,2,24,30,2,1,3,75,133,12000,900,1500,5200
8,1,36,36,2,1,1,78,179,0,0,900,1503
5,6,60,22,1,1,1,45,195,0,0,700,1422
9,2,24,45,2,1,1,75,112,4000,0,500,1430
4,2,30,47,2,1,3,90,210,15000,0,1550,1578
14,3,48,36,2,1,1,75,155,3500,200,1100,1250
3,2,36,36,1,2,3,35,394,16000,0,1500,2260
22,1,36,60,2,1,1,60,149,0,0,200,280
20,1,48,59,2,1,1,57,120,0,0,800,1298
6,2,48,58,2,2,3,60,400,86000,0,930,945
23,2,12,37,2,1,1,45,165,5000,0,900,1694
5,2,36,32,2,1,3,75,125,6000,0,600,700
8,1,48,26,1,1,1,42,74,0,0,600,1290
5,2,60,40,2,1,1,75,86,4900,0,1300,1581
20,2,48,55,2,1,1,45,185,5000,0,1000,1383
11,1,60,30,2,1,1,77,165,0,0,1350,1637
25,5,54,43,2,1,1,75,110,7000,0,1275,1275
2,1,60,28,2,1,1,74,138,0,0,1400,1400
20,2,24,47,2,1,3,75,300,5000,0,600,832
9,2,36,29,1,1,1,35,147,3500,0,1886,2886
18,5,60,34,2,1,1,60,112,6550,0,600,1346
20,2,60,53,2,2,3,75,350,6500,0,800,1138
6,2,12,44,2,1,1,45,110,15000,0,300,1801
0,2,48,49,2,1,2,45,75,2000,0,900,1200
0,1,36,51,2,1,1,113,230,0,0,950,950
14,4,60,34,2,1,1,75,85,8000,0,1400,1589
10,2,48,42,2,1,3,75,210,4000,120,1200,1617
19,2,60,34,2,1,1,75,125,5000,0,1200,1200
11,2,60,46,2,1,1,75,149,3500,0,1400,2194
1,2,48,31,2,1,1,75,201,2500,96,1100,1642
13,6,60,31,2,1,1,60,105,0,0,1200,1423
4,1,12,33,2,1,1,78,183,0,0,600,1600
9,1,24,30,1,2,1,46,113,0,0,700,700
1,2,24,27,2,1,1,45,126,3000,3700,200,300
4,2,36,48,2,1,3,120,300,5000,0,1000,1165
2,2,60,33,2,1,1,75,160,6000,0,1000,1365
2,2,12,44,2,1,1,90,160,7500,0,500,1706
21,2,60,57,2,1,3,60,95,8000,0,1000,1700
12,2,60,34,2,2,1,75,125,5500,4000,950,1462
9,1,60,38,2,1,1,87,120,0,0,1177,1300
2,1,36,35,2,1,1,126,359,0,0,870,1122
24,2,60,52,2,1,1,45,80,4000,0,1200,1257
1,5,60,28,1,1,2,35,67,0,0,1050,1387
15,2,48,46,2,1,1,90,148,12000,0,1000,1266
19,2,60,56,2,2,1,45,298,8000,0,1700,2195
10,2,24,52,2,1,1,75,318,4500,700,700,2004
19,2,60,35,2,1,1,75,185,4000,0,1100,1203
4,5,48,29,2,1,1,45,194,0,0,1200,1374
1,5,60,22,1,1,1,35,80,3000,0,1500,1514
2,2,24,33,2,2,1,75,147,2000,900,400,750
5,2,24,41,2,1,3,105,156,10000,0,800,1894
11,2,36,37,2,1,1,75,178,3000,0,1000,1048
23,2,24,46,2,1,1,75,130,4000,0,400,1369
4,6,36,19,1,1,2,35,63,0,0,1000,1035
5,5,36,22,1,1,1,35,88,0,0,750,1218
15,5,60,31,2,1,1,45,140,0,0,1200,1637
1,3,60,44,2,1,2,45,115,2000,0,750,953
9,2,60,48,2,2,1,60,83,2500,0,1100,1212
4,3,36,31,2,1,1,60,144,3000,0,1000,1218
20,2,24,53,2,1,3,45,200,100000,0,1000,1419
10,6,60,36,2,1,1,90,172,3000,0,1100,1100
2,3,60,46,2,1,3,105,200,4000,500,900,987
15,2,60,37,2,1,1,60,318,7000,0,1900,2400
8,2,60,34,2,1,1,60,177,6300,4000,1370,1375
4,2,48,36,2,1,1,60,133,4000,0,1000,1595
4,2,60,64,1,1,4,35,150,9000,0,984,1054
1,2,36,27,1,1,1,35,208,9000,0,1000,1651
10,2,30,26,2,1,1,75,145,1434,0,300,1542
32,2,60,53,2,1,1,60,157,5000,0,2000,2014
12,2,60,50,2,1,1,45,190,9500,200,1800,2624
0,5,60,21,1,1,2,35,86,0,0,1000,1135
20,5,24,40,1,1,1,35,90,0,0,600,1105
6,1,60,49,2,2,2,100,100,30000,0,1500,1500
4,1,24,40,2,2,1,56,214,0,0,800,1200
1,1,60,37,1,1,1,45,100,0,0,1150,1555
2,1,48,25,2,1,1,57,117,0,0,800,2251
25,2,18,40,2,1,1,45,110,4000,0,455,1542
1,1,36,22,2,1,1,62,168,0,0,1200,2186
10,2,48,49,2,1,3,45,150,9000,0,1700,1700
2,2,60,34,2,1,1,45,166,7000,0,600,1180
20,2,36,42,2,1,3,90,250,4500,0,1500,1750
10,2,48,28,2,2,2,60,120,2500,1500,600,875
1,2,60,30,2,1,3,35,236,3500,1000,1000,1514
1,2,60,25,4,2,2,45,277,6000,3500,1700,1950
0,5,60,22,1,1,2,35,55,0,0,950,1462
5,5,36,27,1,1,1,35,200,4000,0,600,1098
3,5,60,26,1,1,1,45,235,0,0,800,840
0,2,48,28,2,1,1,45,80,1500,0,1260,1634
6,2,48,35,2,1,3,45,200,7000,0,1540,1603
21,3,60,51,2,1,1,45,140,3000,0,1200,1200
5,1,60,24,2,1,1,73,125,0,0,700,1360
12,1,60,34,2,1,1,94,185,0,0,1200,1236
13,2,42,34,2,1,1,105,190,2500,300,1100,1395
10,2,60,49,2,1,3,60,150,23000,0,1200,1390
6,2,60,28,2,1,1,60,102,5000,0,700,1355
18,1,60,57,2,1,1,77,170,4000,0,1300,1604
15,2,60,63,2,1,1,60,315,3500,266,1000,1241
0,1,12,37,2,1,4,88,130,0,0,250,375
2,2,36,27,2,1,1,45,156,6000,0,700,1045
18,1,60,39,2,1,1,93,177,0,0,800,1781
12,2,36,64,1,2,3,60,341,4500,0,900,900
25,2,48,49,2,1,3,105,240,12000,4200,1660,1698
8,2,12,49,2,1,3,60,142,6000,0,200,1048
20,2,36,45,2,1,3,75,333,5000,0,1000,2200
3,5,60,27,1,1,1,35,125,5000,0,770,1119
2,5,36,30,2,1,1,45,170,0,0,700,1090
2,2,36,33,2,1,3,75,220,16000,500,3000,4100
15,2,36,40,2,1,1,60,230,8500,480,700,1400
3,2,60,30,4,1,1,60,157,15000,0,1000,2010
4,5,12,30,2,1,1,60,340,16000,0,1900,2014
3,2,60,25,2,1,2,60,120,3500,200,1000,1342
9,1,60,40,1,1,1,44,91,0,0,1000,1132
4,3,42,50,2,1,3,60,150,7000,0,900,1048
2,2,36,23,1,1,1,35,88,5500,0,750,1218
1,6,48,28,1,1,2,35,120,0,0,900,1114
2,1,60,27,2,1,1,56,106,0,0,650,2132
2,5,36,19,2,1,1,35,162,4000,100,400,570
3,5,60,39,2,1,1,45,77,0,0,1000,1094
8,3,36,39,2,1,1,75,128,2500,0,550,550
10,2,48,55,3,1,1,35,189,9000,0,1200,1255
10,2,36,32,2,1,3,60,300,40000,3000,2000,4138
5,2,60,54,2,1,3,60,92,6000,1700,1700,1714
20,2,48,58,2,1,3,60,380,35000,0,1100,1150
5,2,24,37,2,1,3,75,500,14000,0,1500,2673
20,5,60,36,2,1,3,60,130,0,0,1200,1630
12,2,60,28,2,1,1,45,141,6000,400,1100,1544
13,2,60,38,2,1,1,75,220,6500,3600,1000,1195
11,2,36,26,2,1,1,60,146,5000,1300,400,1206
17,2,60,41,2,1,3,75,250,13500,3700,1400,2050
6,2,36,42,2,1,1,60,132,6000,0,1200,1513
22,2,6,46,2,1,3,90,150,75000,0,3000,3300
25,1,60,52,2,1,1,73,127,0,0,1030,1250
8,2,60,30,2,1,2,60,90,3000,500,1000,1339
19,2,60,47,2,2,3,90,166,12500,1000,875,875
3,2,18,66,2,1,4,45,69,12000,0,500,1101
35,2,60,54,2,1,1,45,182,4000,0,1000,1568
0,2,42,65,2,1,4,45,77,4000,2000,750,1194
7,6,60,25,2,1,1,45,50,0,0,950,1378
3,2,60,31,1,1,1,35,131,4000,0,1050,1139
1,5,24,23,1,1,1,35,62,0,0,350,350
5,2,60,35,2,1,1,75,60,3000,400,1150,1406
2,2,60,47,2,1,1,90,86,4500,0,1200,1497
13,1,36,28,2,1,1,59,143,0,0,1400,1600
27,1,60,50,2,2,1,87,120,0,0,1300,1350
3,6,60,25,1,1,1,35,283,0,0,2000,2032
0,2,36,39,2,1,1,60,138,3000,0,1400,2610
1,3,12,46,2,1,4,90,90,2000,600,500,1193
1,1,60,36,2,2,1,85,99,0,0,1200,1275
10,2,36,39,2,2,3,75,160,15000,0,3250,3750
1,2,60,25,2,1,2,60,330,9000,3500,1300,2500
6,2,36,49,2,1,3,60,100,22000,0,1000,1790
3,1,48,52,2,1,1,96,210,0,0,1400,1419
10,1,30,34,4,1,1,45,100,0,0,700,1480
0,2,36,24,1,1,2,45,97,8000,0,600,1542
6,2,48,24,2,1,1,45,227,3000,0,600,1380
5,2,42,33,2,2,1,45,140,22000,2500,1200,1888
1,1,48,31,2,1,1,87,115,0,0,1100,1672
37,2,48,63,2,1,1,60,150,3500,0,700,808
1,5,60,23,1,1,1,35,90,0,0,1100,1107
40,2,42,61,2,1,1,90,275,12000,0,1000,1335
5,5,60,28,1,1,1,35,176,0,0,1190,1390
11,1,60,58,2,1,1,71,110,3000,0,1150,1363
23,2,60,41,2,1,1,75,140,3000,0,1450,1482
23,2,60,38,2,1,1,45,500,3500,0,1900,2357
5,2,60,27,2,1,1,75,66,3000,0,600,850
5,2,48,40,2,1,3,75,145,6000,0,825,1617
31,2,60,59,2,1,1,60,67,6500,0,1080,1114
10,2,60,38,2,2,1,90,80,3000,1749,1030,1095
8,6,60,28,2,1,1,45,200,0,0,700,1529
2,2,36,49,2,2,3,75,154,14000,0,850,1263
3,3,48,38,2,1,3,90,187,2500,750,1550,1600
35,2,48,52,2,1,1,60,135,5000,0,1200,1400
3,2,48,37,3,1,1,45,160,6000,3000,1000,1520
25,2,60,42,2,1,1,60,133,9500,0,1500,1617
8,1,60,54,2,1,3,173,230,5000,0,1100,1500
2,2,60,30,2,1,1,60,154,3000,0,1000,1705
2,2,30,26,2,1,1,60,50,3500,250,600,1292
17,2,48,49,2,1,3,60,189,7000,0,1100,1294
3,2,60,36,2,1,1,60,202,4600,1260,1400,1936
4,5,48,40,2,1,3,90,20,0,0,1850,2143
0,2,12,61,2,1,4,60,40,4000,0,170,1394
2,1,24,59,2,1,1,110,50,0,0,200,425
2,2,48,49,2,1,1,45,125,4000,0,500,1600
30,1,60,52,2,1,3,70,100,14500,0,1250,1563
11,2,60,35,2,1,1,60,115,4000,75,1250,1284
5,4,60,25,2,1,1,75,160,1000,0,890,990
14,2,60,30,2,1,1,60,70,4000,2800,600,1125
8,2,48,28,2,1,1,35,220,4000,0,1000,1267
1,2,6,29,1,1,3,35,107,2000,0,300,1298
6,2,60,32,2,1,1,75,160,2200,600,1550,1600
9,2,60,45,2,1,1,75,150,3000,0,1100,1340
3,2,60,26,2,1,2,45,120,6100,1500,1000,1403
3,2,60,33,2,2,3,75,225,2000,0,1400,1980
1,5,60,21,1,1,3,35,100,0,0,900,1290
0,2,36,34,2,1,2,75,80,4500,300,600,1339
6,2,60,27,1,1,1,35,208,6000,3300,1500,1559
21,2,60,44,2,1,1,90,105,1150,720,200,1078
17,2,60,51,2,1,1,60,98,4000,0,860,1113
7,1,18,33,2,1,1,113,532,0,0,1000,2290
10,2,60,35,2,1,1,60,140,4000,0,1000,1578
2,2,48,38,2,1,1,75,90,7000,2000,500,1039
0,1,60,28,2,1,1,76,155,0,0,800,1218
2,2,60,26,2,1,1,45,120,3500,0,300,1329
10,2,36,34,2,1,1,90,159,3000,250,300,500
6,2,60,27,2,1,1,45,122,2000,1000,1300,1384
7,2,60,32,2,1,2,75,156,3500,0,1300,1553
18,2,48,43,1,1,1,35,90,2500,0,1000,1626
3,2,18,30,1,1,2,35,130,5000,0,1100,1674
6,2,18,42,2,1,3,90,45,4000,34,200,1500
0,1,36,26,2,1,2,72,118,1000,0,600,1421
0,2,24,20,1,1,4,60,152,2000,0,400,480
8,1,48,24,1,1,1,49,135,0,0,1000,1274
4,1,48,27,2,1,1,58,125,0,0,1200,1580
1,1,36,35,2,1,3,66,208,4000,0,1000,1300
1,5,48,18,1,1,2,35,81,0,0,1150,1314
3,2,24,35,2,1,1,75,160,1800,0,200,957
10,1,60,33,2,1,3,75,300,2700,0,1000,1500
8,3,36,39,2,1,1,60,135,4000,1500,1300,1504
20,5,60,36,2,1,1,60,121,0,0,850,935
3,5,48,29,1,1,1,35,145,0,0,1000,1028
1,5,48,23,1,1,1,35,165,0,0,1300,1440
19,2,12,34,2,1,3,75,428,32000,0,500,1030
2,1,48,57,2,1,4,68,233,0,0,1200,1366
11,2,60,38,2,2,1,90,245,4000,0,1700,1768
1,2,48,42,2,2,3,75,200,9000,4500,1400,1700
15,2,60,44,2,1,3,60,42,10000,0,910,1450
10,2,48,37,5,1,1,35,87,3500,450,500,1155
1,3,48,34,2,2,3,45,200,3000,1500,1000,1191
25,2,12,43,2,1,3,75,250,100000,0,600,841
4,1,60,42,5,2,1,70,350,0,0,2200,2441
0,6,48,24,2,1,1,60,105,0,0,1200,1516
1,2,60,36,1,1,3,60,100,4500,1500,400,1591
2,5,60,52,2,2,3,75,160,5000,0,1350,1999
0,1,36,34,4,1,1,49,140,0,0,1150,1600
16,5,60,31,2,1,1,45,160,0,0,1400,1850
8,2,60,36,2,1,3,75,148,2600,0,1400,1775
20,5,36,50,2,1,3,45,113,20000,0,700,1224
5,5,60,33,2,1,1,45,97,0,0,1500,1663
20,2,60,54,2,1,1,60,107,1500,0,1250,1500
5,1,60,40,2,2,1,66,206,0,0,1900,2225
1,2,60,29,2,1,1,45,275,6000,1810,1600,1930
3,2,60,31,2,1,1,45,176,4500,2500,1400,1607
2,1,36,32,2,1,1,63,175,0,0,1000,1230
3,2,24,51,2,1,1,45,223,20000,0,1400,1581
7,1,60,31,2,1,1,67,70,0,0,790,1072
9,1,36,46,2,1,1,84,87,0,0,1200,1471
1,2,60,35,2,1,3,90,42,5000,100,500,1300
14,5,60,33,1,1,1,35,60,0,0,1150,1192
6,6,48,25,1,1,1,35,300,0,0,2400,2700
0,6,36,31,2,1,1,75,144,0,0,450,500
2,5,48,30,2,1,1,60,180,0,0,1350,1770
1,1,48,40,2,1,4,82,69,0,0,1100,1197
12,1,60,37,2,2,1,86,110,0,0,700,950
1,5,36,22,1,2,2,35,50,0,0,425,450
0,5,60,24,1,2,2,35,86,0,0,1400,1707
11,2,36,27,2,1,1,60,172,7000,0,900,1201
9,1,60,32,2,2,3,71,109,0,0,1135,1355
13,2,60,43,2,1,1,60,95,3000,0,890,1196
29,1,60,57,2,1,1,80,203,0,0,1100,1297
33,2,48,59,2,2,1,45,114,10000,0,1200,1420
3,1,48,60,3,1,3,54,186,0,0,850,1036
0,1,60,25,1,1,1,51,155,0,0,800,1201
5,5,60,28,2,1,1,60,195,1800,0,1000,1527
3,2,60,40,2,1,3,75,246,2500,0,1300,1500
21,1,48,36,2,1,1,86,113,0,0,950,1057
6,2,48,27,2,1,3,60,290,4300,900,1500,2127
25,2,60,44,2,1,1,45,125,2500,0,1200,1570
5,1,24,34,2,1,3,95,199,0,0,250,650
1,2,60,28,2,1,1,45,133,5000,9000,700,1175
1,2,60,39,2,1,1,60,210,2000,0,700,825
11,2,60,28,2,1,1,45,78,4000,0,850,978
1,1,36,37,5,1,2,55,200,15000,0,1100,1650
0,5,60,20,2,1,3,45,100,0,0,1850,2150
2,1,48,36,2,1,1,85,95,0,0,1340,1771
5,1,48,28,2,1,1,63,183,0,0,1100,1615
2,5,24,20,1,1,1,35,43,0,0,450,994
7,3,60,32,2,1,1,75,120,3000,3000,870,1147
3,5,60,19,1,1,3,45,198,2500,0,1100,1194
2,1,36,21,1,1,1,45,100,0,0,700,825
3,1,36,23,1,1,1,50,150,0,0,1000,1128
10,2,36,47,2,1,1,60,133,3000,0,360,360
10,2,48,37,3,1,4,45,110,3000,0,500,1190
10,2,60,51,2,1,1,60,202,2000,0,1400,1580
1,3,24,31,2,1,1,60,140,2000,500,1100,1600
4,2,60,49,2,1,1,45,123,5000,0,1450,1735
2,2,60,27,2,1,1,45,275,8000,4500,1500,2178
3,3,60,34,2,2,1,75,200,2500,0,1350,1589
0,2,48,29,4,1,1,35,55,4000,0,757,1566
1,2,60,51,2,1,4,45,105,3000,0,1200,1250
15,2,60,34,2,1,1,75,146,5000,0,1400,1626
10,2,60,42,2,2,1,75,100,6000,1500,1350,1414
2,1,60,46,4,1,1,49,136,0,0,1500,1687
8,2,60,40,2,1,1,60,90,4500,0,1100,1638
7,2,60,26,2,1,1,60,116,3000,0,1400,1460
17,2,36,31,2,1,1,75,128,7000,4800,700,1400
10,2,54,47,2,1,1,60,105,3000,0,850,911
6,2,30,45,2,1,1,90,125,3000,0,1050,1559
0,6,60,26,2,1,2,45,68,0,0,1200,1315
1,2,36,41,2,1,1,75,400,5500,0,1800,2600
6,2,48,31,2,1,1,60,251,3000,400,1000,1208
2,1,60,23,1,1,1,58,225,0,0,800,975
2,5,60,34,1,1,1,35,140,0,0,1200,1274
7,1,60,38,2,1,3,107,320,1500,0,1050,1092
1,1,60,54,2,1,4,54,87,8000,0,1000,1202
15,2,60,37,2,1,4,90,90,5000,1800,1500,1816
2,5,48,26,2,1,1,60,110,10000,0,1300,1700
20,2,54,59,2,1,3,60,87,3500,0,500,984
30,1,60,54,2,1,1,54,93,0,0,1000,1387
12,2,48,27,2,2,1,45,110,5000,1300,450,1636
2,1,60,28,1,1,1,43,81,0,0,1000,1135
3,2,60,53,2,1,1,45,98,3500,0,1350,1453
7,2,60,48,2,1,3,60,155,4500,0,1400,1500
4,2,48,30,2,1,1,60,167,3500,1000,800,1350
14,3,60,28,2,1,1,60,190,18000,0,1850,2247
10,2,60,34,2,1,1,75,110,2500,300,1150,1367
12,1,60,55,2,2,1,62,170,0,0,1800,2154
5,5,60,28,1,1,1,35,70,0,0,900,1492
2,2,60,31,1,1,1,35,55,7500,0,800,1351
30,5,60,56,2,1,1,45,80,10000,0,1500,2040
3,2,60,38,2,2,2,75,81,4000,0,1000,1037
0,6,48,25,1,1,1,35,139,0,0,1200,1202
0,1,48,35,2,1,1,66,206,0,0,1500,1683
3,5,48,31,1,1,1,35,120,0,0,1000,1100
30,6,48,52,2,1,3,90,300,12000,0,1700,1734
13,3,60,33,2,1,1,75,224,7000,0,1600,1604
0,1,60,30,2,1,1,68,80,0,0,1000,1330
3,2,60,37,2,1,2,90,166,3000,0,800,877
0,2,36,54,2,1,2,60,110,11500,0,1100,1759
7,5,48,32,2,2,1,45,161,0,0,970,1564
4,2,60,23,2,1,1,45,80,4000,0,1100,1306
10,2,24,39,2,1,1,75,150,3000,0,500,1108
1,1,36,28,1,1,3,52,170,0,0,350,1500
2,5,60,43,2,1,1,45,100,0,0,1500,1645
30,1,60,50,2,1,3,68,225,10000,0,1300,1500
3,1,60,41,2,2,1,77,166,0,0,2200,2625
0,5,36,27,1,1,1,45,200,5000,0,800,1456
10,2,42,25,2,1,1,45,110,3000,0,1500,2178
4,1,36,35,1,1,1,46,110,0,0,1000,1642
1,2,60,31,2,1,2,45,160,4000,300,1200,1265
13,5,36,43,1,1,1,35,204,0,0,200,325
4,5,60,28,2,1,2,45,135,0,0,1350,1471
