Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,ProbDef
1,3,2,24,23,2,1,1,75,85,5000,0,600,1600,0.20821541760260376
0,4,2,48,29,2,1,1,45,150,5000,3300,1100,1312,0.33752435163648437
1,0,2,36,23,1,1,2,45,122,2500,0,400,400,0.4271809298094153
0,14,3,24,51,2,1,2,75,198,1000,0,450,650,0.08768893388905924
0,10,2,36,39,2,1,3,75,150,3000,0,1000,1394,0.23877659112226002
0,12,5,36,35,1,1,1,35,170,0,0,1100,1542,0.09523874575719544
0,32,2,24,62,2,1,3,45,119,8500,0,700,1200,0.017978170446457047
0,10,2,24,56,2,1,3,45,208,13500,0,500,1560,0.020598539181141733
0,7,2,48,32,2,1,1,75,115,3000,0,800,1200,0.2135791124289363
1,1,1,54,36,2,1,1,70,99,0,0,950,950,0.538548374544578
0,30,2,60,64,2,1,1,45,120,14000,0,1125,1300,0.015237227088723545
1,5,1,48,31,1,1,1,44,90,0,0,1300,1700,0.3879133722223755
0,24,2,60,42,2,1,1,75,137,4000,0,900,1167,0.040997958388461354
0,0,2,60,61,3,1,4,35,230,50000,0,950,1150,0.028646362389394678
1,0,2,60,32,2,2,1,45,142,7000,3000,1250,1566,0.5744760340893288
1,2,2,60,43,2,1,2,75,71,3000,0,1500,1552,0.6454433185938041
0,1,5,60,26,1,1,2,35,120,0,0,1150,1300,0.3884117026602139
0,1,2,60,49,3,1,3,35,233,15900,4500,2100,2104,0.4526386624012576
0,15,2,36,47,2,1,1,75,289,3500,0,1500,2154,0.043053420111178124
1,2,1,36,27,4,1,1,48,128,0,0,450,545,0.3999276278461553
0,25,2,36,52,2,1,3,60,150,15000,0,750,1778,0.010039786579536166
0,8,2,60,28,2,1,1,60,145,4000,1000,1600,1718,0.3571034483845893
0,5,2,60,31,2,1,1,75,90,4000,0,900,1500,0.20600466452926422
0,0,1,60,32,2,1,1,105,301,0,0,1200,1274,0.2637231990519827
0,5,2,36,51,2,1,3,75,200,2100,1200,900,1015,0.308704794382258
0,3,5,12,37,2,1,3,60,150,500,0,500,1701,0.11734745708585902
1,1,1,48,29,2,2,3,85,100,0,0,1000,1345,0.7807171718493736
0,7,5,60,26,1,1,1,35,100,0,0,1000,1238,0.21004643992949573
0,4,5,30,27,1,1,1,45,100,5000,0,500,1048,0.15747550287066683
0,6,2,24,63,2,1,1,60,155,4000,0,600,1048,0.12198498664686487
0,14,2,24,55,2,1,1,90,715,5000,0,800,1324,0.0010486162880342755
0,3,1,60,28,2,1,1,70,245,0,0,1830,2201,0.3057818119608235
0,8,1,48,31,2,1,1,90,150,0,0,1100,1430,0.2850549558764449
1,4,5,42,27,1,1,1,35,70,0,0,600,926,0.25807974277476364
0,22,2,24,40,2,1,1,75,190,3000,0,1000,1500,0.05089899023713855
0,2,2,36,35,2,1,1,75,152,3000,0,1000,1542,0.27591985153186166
0,15,3,60,43,2,1,1,75,126,3000,0,1350,1360,0.19560993709792956
0,10,2,18,34,2,1,3,75,181,4000,0,600,1000,0.18191727118607567
0,4,2,60,37,2,1,1,60,185,3000,0,1200,1564,0.18257047030501475
0,9,2,60,53,2,1,1,45,170,2500,0,850,1205,0.07536332368519769
0,22,1,60,46,2,1,1,93,176,7500,0,2000,2200,0.11745039183689016
0,18,5,36,36,2,1,3,60,238,0,0,900,2214,0.014040370852381032
0,1,3,60,46,2,1,1,60,115,5500,800,1000,1137,0.31554298116696977
0,14,2,48,43,2,1,1,45,200,9000,0,600,1025,0.028481448722010784
0,8,2,36,31,2,2,3,75,411,9000,4000,800,1593,0.058362790020797174
0,5,2,24,43,2,1,1,75,93,3000,0,700,1735,0.1523735879387973
0,19,1,60,38,2,1,1,86,108,0,0,1000,1132,0.1477437969529649
0,14,2,12,37,2,1,3,90,500,4000,0,500,1338,0.006464098410067684
0,0,6,36,46,2,2,4,45,45,0,0,900,1100,0.8015656918862928
0,9,1,36,55,2,1,1,70,250,30000,0,1750,2276,0.04558083850819373
0,29,2,48,56,2,1,1,45,100,3000,0,900,1360,0.02284747347471992
0,10,2,36,55,2,1,1,60,70,4000,0,1000,1436,0.21126319508070115
0,10,5,36,52,2,1,1,60,150,0,0,550,612,0.12995553763415965
1,1,2,36,29,2,1,1,60,70,4500,0,850,1100,0.49262349820696916
0,11,2,60,39,5,2,1,35,263,2500,0,1000,1300,0.12527332391107412
0,10,2,60,38,2,1,3,75,200,9000,0,1000,2089,0.03641242297798133
0,5,2,24,24,1,1,1,35,78,6000,3000,500,2262,0.05446427792112061
0,10,1,60,28,1,1,1,47,120,0,0,600,1054,0.10553764071412784
0,27,2,60,53,2,1,1,60,125,10000,0,1426,1426,0.05167588635333252
1,0,1,60,25,1,1,2,40,50,0,0,1040,1048,0.6598743012513459
1,25,1,60,62,2,1,1,60,146,0,0,1000,1292,0.03320317618924577
0,3,5,60,29,1,1,1,35,70,0,0,950,1177,0.31244779107964
1,9,5,60,32,1,2,1,35,105,0,0,1490,1490,0.536090863339147
0,4,1,36,21,2,1,3,101,413,6000,0,750,850,0.10172005336670627
0,6,1,36,38,2,1,3,95,500,25000,21400,800,1011,0.08529308506011063
0,9,1,48,56,2,1,3,140,350,0,0,1400,1571,0.1559774064204051
0,3,2,36,41,2,1,3,75,200,3000,0,1000,1000,0.41203693966073524
1,22,6,36,46,2,1,1,45,138,0,0,250,270,0.036225522404454785
0,3,2,60,54,3,1,4,35,80,4000,0,950,1382,0.32018356636012557
0,30,2,36,51,2,1,3,120,208,15000,0,1500,1713,0.04426936041132855
0,8,1,60,52,2,1,1,89,137,4000,0,800,1086,0.14707848175566357
0,38,2,48,57,2,1,3,45,58,12000,0,1500,3262,0.0036866473750853247
0,2,1,60,33,2,1,1,73,130,0,0,1100,1610,0.30393683414290273
0,4,2,60,33,2,1,1,75,123,6000,1000,600,1030,0.1655897731883202
1,0,1,36,29,2,1,2,78,180,0,0,650,650,0.48240431694272357
1,2,6,48,23,1,1,1,35,140,0,0,1950,2175,0.5054210033016385
0,8,2,24,33,2,1,1,75,315,4500,0,400,1780,0.010464651065518854
1,1,1,36,24,2,1,2,76,164,0,0,900,950,0.552839438208211
1,6,5,60,28,2,1,3,90,325,7000,0,1200,1211,0.11900194070766325
0,5,2,60,27,2,1,1,45,135,5000,1400,1600,1650,0.44262116044260136
1,13,5,36,33,1,1,1,35,109,0,0,350,350,0.12273350732018935
0,11,1,60,32,2,1,1,79,185,0,0,950,1117,0.1540163790552663
0,10,2,24,39,2,1,1,45,217,9000,3000,1500,2468,0.08381691585868975
1,20,2,60,51,2,1,3,90,300,12500,2500,1340,1740,0.025789277712944092
0,13,2,48,29,2,1,1,60,253,3000,0,670,963,0.04644749273583899
1,2,2,36,32,2,1,1,75,101,1500,400,1200,1646,0.48698845819804454
1,3,2,36,40,2,2,3,35,200,10000,0,800,800,0.4363282197315661
0,12,2,36,47,2,1,1,75,124,3500,0,460,470,0.16223680320527487
0,20,2,24,66,2,1,1,45,143,10000,0,950,1370,0.03971657675916876
0,3,3,48,39,4,1,3,35,250,4000,1500,700,839,0.16972086962515898
0,27,2,60,50,2,1,1,75,135,5500,1000,600,1346,0.010643752247173925
0,4,1,60,25,2,1,1,57,115,0,0,900,1350,0.264588334657392
1,1,2,60,27,2,1,2,75,160,4000,3000,1800,2100,0.5919548914495113
0,18,1,60,54,2,1,1,66,214,0,0,1300,1307,0.08513349155123845
0,12,1,60,42,2,1,1,114,390,0,0,1100,1126,0.04884399663251219
0,12,2,48,35,4,1,3,45,500,200000,0,2380,4786,3.6010136075079943e-07
1,0,5,60,23,1,1,2,35,95,0,0,1400,1478,0.5634048665736109
0,12,2,60,52,2,1,1,75,200,12000,0,1550,1568,0.12080914905314731
0,0,5,24,22,1,1,2,35,85,0,0,650,1056,0.42551442971079306
0,10,6,18,48,2,1,1,90,214,0,0,1000,1608,0.09624140600680224
0,2,2,60,25,2,1,1,75,140,3000,0,950,1179,0.32241595611527696
1,10,6,60,26,2,1,1,45,60,0,0,1400,1524,0.3510912128931991
0,8,2,60,28,2,1,1,75,180,4000,0,1300,1730,0.16305034304646684
0,20,2,30,62,2,1,3,60,300,24000,9000,600,823,0.01935180654017575
0,0,1,60,33,2,1,3,65,200,0,0,700,800,0.3285718166602347
0,16,5,60,41,2,1,1,75,242,0,0,1300,1482,0.0603090250982169
0,4,2,60,29,2,1,2,60,155,5000,2500,900,1110,0.28557668711900575
1,1,1,60,37,1,1,1,45,100,0,0,1150,1555,0.34998740762371816
0,0,2,60,31,2,1,1,60,105,3500,0,1100,1170,0.47710083996948954
0,15,2,12,50,2,1,3,45,166,2000,0,500,886,0.10230166255217699
1,13,1,60,42,4,2,1,47,120,0,0,800,1395,0.1875248264855573
0,19,2,36,33,2,1,1,60,115,6700,2000,1000,2084,0.04242519099298785
0,15,2,24,54,2,1,3,90,350,150000,0,3800,8800,1.1866991177181263e-06
0,9,1,60,40,2,1,1,119,442,6000,1947,900,1211,0.02236938462858866
1,12,5,60,31,4,2,1,35,101,0,0,1300,1300,0.48617974755564186
1,0,2,36,35,2,2,1,105,122,5200,2000,850,850,0.7873088215492567
0,14,2,60,64,2,1,3,60,250,10000,0,700,1204,0.01774491227992965
0,10,5,24,29,1,1,3,35,90,0,0,600,1528,0.11818839346253907
0,2,2,48,33,2,1,1,45,160,6000,0,1200,1298,0.3331794964699339
0,15,2,18,35,2,1,3,60,300,4000,0,300,600,0.03835575145107413
1,1,5,48,28,1,1,1,35,83,0,0,1000,1320,0.36192093416489624
1,0,6,60,25,2,1,2,60,60,0,0,1300,1380,0.641064068755061
1,0,5,60,23,1,1,2,35,205,0,0,1400,1426,0.36443293820915834
0,3,2,24,30,2,1,3,75,133,12000,900,1500,5200,0.008717103515821866
0,8,1,36,36,2,1,1,78,179,0,0,900,1503,0.15253783403375262
0,5,6,60,22,1,1,1,45,195,0,0,700,1422,0.05240169178477485
0,9,2,24,45,2,1,1,75,112,4000,0,500,1430,0.08538212620772045
0,4,2,30,47,2,1,3,90,210,15000,0,1550,1578,0.4016756283360626
0,14,3,48,36,2,1,1,75,155,3500,200,1100,1250,0.15116954598206267
0,3,2,36,36,1,2,3,35,394,16000,0,1500,2260,0.07582980627650769
0,22,1,36,60,2,1,1,60,149,0,0,200,280,0.03906001992987889
0,20,1,48,59,2,1,1,57,120,0,0,800,1298,0.04817243906850879
1,6,2,48,58,2,2,3,60,400,86000,0,930,945,0.0031406825492312274
0,23,2,12,37,2,1,1,45,165,5000,0,900,1694,0.03190295134918124
1,5,2,36,32,2,1,3,75,125,6000,0,600,700,0.37235202046202304
0,8,1,48,26,1,1,1,42,74,0,0,600,1290,0.1510299282765597
0,5,2,60,40,2,1,1,75,86,4900,0,1300,1581,0.3583357293167571
0,20,2,48,55,2,1,1,45,185,5000,0,1000,1383,0.03041702948615474
0,11,1,60,30,2,1,1,77,165,0,0,1350,1637,0.21737061351304476
0,25,5,54,43,2,1,1,75,110,7000,0,1275,1275,0.07498329344222315
1,2,1,60,28,2,1,1,74,138,0,0,1400,1400,0.5642640023124403
0,20,2,24,47,2,1,3,75,300,5000,0,600,832,0.0300372743549231
0,9,2,36,29,1,1,1,35,147,3500,0,1886,2886,0.1655484016028395
0,18,5,60,34,2,1,1,60,112,6550,0,600,1346,0.022480886536609682
0,20,2,60,53,2,2,3,75,350,6500,0,800,1138,0.024009119869669054
0,6,2,12,44,2,1,1,45,110,15000,0,300,1801,0.025952913790589966
1,0,2,48,49,2,1,2,45,75,2000,0,900,1200,0.4268127332731141
0,0,1,36,51,2,1,1,113,230,0,0,950,950,0.40368850367117093
0,14,4,60,34,2,1,1,75,85,8000,0,1400,1589,0.2003720810939489
0,10,2,48,42,2,1,3,75,210,4000,120,1200,1617,0.14772284777121203
0,19,2,60,34,2,1,1,75,125,5000,0,1200,1200,0.1405594153017152
0,11,2,60,46,2,1,1,75,149,3500,0,1400,2194,0.0892670812729694
0,1,2,48,31,2,1,1,75,201,2500,96,1100,1642,0.21646793717858526
1,13,6,60,31,2,1,1,60,105,0,0,1200,1423,0.1711943820919167
0,4,1,12,33,2,1,1,78,183,0,0,600,1600,0.1395793222526777
1,9,1,24,30,1,2,1,46,113,0,0,700,700,0.5734859591275545
0,1,2,24,27,2,1,1,45,126,3000,3700,200,300,0.39759563778172197
0,4,2,36,48,2,1,3,120,300,5000,0,1000,1165,0.20353903944699164
0,2,2,60,33,2,1,1,75,160,6000,0,1000,1365,0.214368867203265
0,2,2,12,44,2,1,1,90,160,7500,0,500,1706,0.087615939795979
0,21,2,60,57,2,1,3,60,95,8000,0,1000,1700,0.03927018331461924
0,12,2,60,34,2,2,1,75,125,5500,4000,950,1462,0.2806722374476719
0,9,1,60,38,2,1,1,87,120,0,0,1177,1300,0.3294280272844887
0,2,1,36,35,2,1,1,126,359,0,0,870,1122,0.14639178446458395
0,24,2,60,52,2,1,1,45,80,4000,0,1200,1257,0.08207612292498069
0,1,5,60,28,1,1,2,35,67,0,0,1050,1387,0.39238367431532056
0,15,2,48,46,2,1,1,90,148,12000,0,1000,1266,0.08355891673822176
0,19,2,60,56,2,2,1,45,298,8000,0,1700,2195,0.04068111521736441
0,10,2,24,52,2,1,1,75,318,4500,700,700,2004,0.010717647696679716
0,19,2,60,35,2,1,1,75,185,4000,0,1100,1203,0.07427613431149535
0,4,5,48,29,2,1,1,45,194,0,0,1200,1374,0.23570569356646587
1,1,5,60,22,1,1,1,35,80,3000,0,1500,1514,0.5443847753489844
0,2,2,24,33,2,2,1,75,147,2000,900,400,750,0.4979097818207306
0,5,2,24,41,2,1,3,105,156,10000,0,800,1894,0.12877695210808301
0,11,2,36,37,2,1,1,75,178,3000,0,1000,1048,0.21312416125606093
0,23,2,24,46,2,1,1,75,130,4000,0,400,1369,0.018053050579976155
1,4,6,36,19,1,1,2,35,63,0,0,1000,1035,0.5446786412070543
1,5,5,36,22,1,1,1,35,88,0,0,750,1218,0.23673835011117142
0,15,5,60,31,2,1,1,45,140,0,0,1200,1637,0.0837721001675977
1,1,3,60,44,2,1,2,45,115,2000,0,750,953,0.2792158924429603
0,9,2,60,48,2,2,1,60,83,2500,0,1100,1212,0.47555212126128504
0,4,3,36,31,2,1,1,60,144,3000,0,1000,1218,0.3236266127416074
0,20,2,24,53,2,1,3,45,200,100000,0,1000,1419,0.000803764438654096
0,10,6,60,36,2,1,1,90,172,3000,0,1100,1100,0.16739317042859964
0,2,3,60,46,2,1,3,105,200,4000,500,900,987,0.29873637081209886
0,15,2,60,37,2,1,1,60,318,7000,0,1900,2400,0.0379160589562389
0,8,2,60,34,2,1,1,60,177,6300,4000,1370,1375,0.30199130370351385
0,4,2,48,36,2,1,1,60,133,4000,0,1000,1595,0.1893089930038453
0,4,2,60,64,1,1,4,35,150,9000,0,984,1054,0.20438545111342737
0,1,2,36,27,1,1,1,35,208,9000,0,1000,1651,0.11777315225525828
0,10,2,30,26,2,1,1,75,145,1434,0,300,1542,0.041702297855618596
0,32,2,60,53,2,1,1,60,157,5000,0,2000,2014,0.056465112211751586
0,12,2,60,50,2,1,1,45,190,9500,200,1800,2624,0.05264918970837047
1,0,5,60,21,1,1,2,35,86,0,0,1000,1135,0.46130299990624213
0,20,5,24,40,1,1,1,35,90,0,0,600,1105,0.055638525250683406
0,6,1,60,49,2,2,2,100,100,30000,0,1500,1500,0.4813148728722156
1,4,1,24,40,2,2,1,56,214,0,0,800,1200,0.37078134396033924
0,1,1,60,37,1,1,1,45,100,0,0,1150,1555,0.34998740762371816
0,2,1,48,25,2,1,1,57,117,0,0,800,2251,0.09691823242381158
0,25,2,18,40,2,1,1,45,110,4000,0,455,1542,0.015301523986668356
0,1,1,36,22,2,1,1,62,168,0,0,1200,2186,0.24112917066546027
0,10,2,48,49,2,1,3,45,150,9000,0,1700,1700,0.3391819934526358
0,2,2,60,34,2,1,1,45,166,7000,0,600,1180,0.08575466715199452
0,20,2,36,42,2,1,3,90,250,4500,0,1500,1750,0.10411875185433851
0,10,2,48,28,2,2,2,60,120,2500,1500,600,875,0.3878678662810365
0,1,2,60,30,2,1,3,35,236,3500,1000,1000,1514,0.15262673058176535
1,1,2,60,25,4,2,2,45,277,6000,3500,1700,1950,0.5552416408378757
1,0,5,60,22,1,1,2,35,55,0,0,950,1462,0.3703042840028805
0,5,5,36,27,1,1,1,35,200,4000,0,600,1098,0.07382175743395292
0,3,5,60,26,1,1,1,45,235,0,0,800,840,0.13121162515519846
1,0,2,48,28,2,1,1,45,80,1500,0,1260,1634,0.5163574136890979
0,6,2,48,35,2,1,3,45,200,7000,0,1540,1603,0.3364079738619754
0,21,3,60,51,2,1,1,45,140,3000,0,1200,1200,0.07207319722689785
0,5,1,60,24,2,1,1,73,125,0,0,700,1360,0.16916466820826473
0,12,1,60,34,2,1,1,94,185,0,0,1200,1236,0.22171372021437932
0,13,2,42,34,2,1,1,105,190,2500,300,1100,1395,0.1613836309126021
0,10,2,60,49,2,1,3,60,150,23000,0,1200,1390,0.09799441012928395
0,6,2,60,28,2,1,1,60,102,5000,0,700,1355,0.12505640821265002
0,18,1,60,57,2,1,1,77,170,4000,0,1300,1604,0.06892238290733368
0,15,2,60,63,2,1,1,60,315,3500,266,1000,1241,0.01874408576307357
1,0,1,12,37,2,1,4,88,130,0,0,250,375,0.6167747105865634
0,2,2,36,27,2,1,1,45,156,6000,0,700,1045,0.2199689929774708
0,18,1,60,39,2,1,1,93,177,0,0,800,1781,0.02527783497409241
0,12,2,36,64,1,2,3,60,341,4500,0,900,900,0.10868064587329354
0,25,2,48,49,2,1,3,105,240,12000,4200,1660,1698,0.09883019241607488
0,8,2,12,49,2,1,3,60,142,6000,0,200,1048,0.08380353570460518
0,20,2,36,45,2,1,3,75,333,5000,0,1000,2200,0.007135362136605711
0,3,5,60,27,1,1,1,35,125,5000,0,770,1119,0.14128851805187936
0,2,5,36,30,2,1,1,45,170,0,0,700,1090,0.18981018093985283
1,2,2,36,33,2,1,3,75,220,16000,500,3000,4100,0.41069441072527885
0,15,2,36,40,2,1,1,60,230,8500,480,700,1400,0.023220330889747873
0,3,2,60,30,4,1,1,60,157,15000,0,1000,2010,0.06647368203582323
0,4,5,12,30,2,1,1,60,340,16000,0,1900,2014,0.17978130055034494
0,3,2,60,25,2,1,2,60,120,3500,200,1000,1342,0.32813364656498506
0,9,1,60,40,1,1,1,44,91,0,0,1000,1132,0.25100025916458474
1,4,3,42,50,2,1,3,60,150,7000,0,900,1048,0.2752074446645206
0,2,2,36,23,1,1,1,35,88,5500,0,750,1218,0.2852622991540025
0,1,6,48,28,1,1,2,35,120,0,0,900,1114,0.32967986314054093
0,2,1,60,27,2,1,1,56,106,0,0,650,2132,0.06945226318316193
0,2,5,36,19,2,1,1,35,162,4000,100,400,570,0.1865587023725235
0,3,5,60,39,2,1,1,45,77,0,0,1000,1094,0.3584668382098127
0,8,3,36,39,2,1,1,75,128,2500,0,550,550,0.24695107968386723
0,10,2,48,55,3,1,1,35,189,9000,0,1200,1255,0.1150584341254851
0,10,2,36,32,2,1,3,60,300,40000,3000,2000,4138,0.004917120409221574
0,5,2,60,54,2,1,3,60,92,6000,1700,1700,1714,0.5898469336204877
0,20,2,48,58,2,1,3,60,380,35000,0,1100,1150,0.004670731561166165
0,5,2,24,37,2,1,3,75,500,14000,0,1500,2673,0.012081541192631088
0,20,5,60,36,2,1,3,60,130,0,0,1200,1630,0.08640369944628686
0,12,2,60,28,2,1,1,45,141,6000,400,1100,1544,0.10008911531919876
0,13,2,60,38,2,1,1,75,220,6500,3600,1000,1195,0.08963382980864947
0,11,2,36,26,2,1,1,60,146,5000,1300,400,1206,0.06066598215676002
0,17,2,60,41,2,1,3,75,250,13500,3700,1400,2050,0.04059907322817783
0,6,2,36,42,2,1,1,60,132,6000,0,1200,1513,0.27632792677100926
0,22,2,6,46,2,1,3,90,150,75000,0,3000,3300,0.06114888476973157
0,25,1,60,52,2,1,1,73,127,0,0,1030,1250,0.05477422048528681
1,8,2,60,30,2,1,2,60,90,3000,500,1000,1339,0.27816672528199393
1,19,2,60,47,2,2,3,90,166,12500,1000,875,875,0.17712734265408794
0,3,2,18,66,2,1,4,45,69,12000,0,500,1101,0.23376805967911965
0,35,2,60,54,2,1,1,45,182,4000,0,1000,1568,0.0051733605149438715
0,0,2,42,65,2,1,4,45,77,4000,2000,750,1194,0.4160433527742098
1,7,6,60,25,2,1,1,45,50,0,0,950,1378,0.23672724517277463
0,3,2,60,31,1,1,1,35,131,4000,0,1050,1139,0.2803644821916953
0,1,5,24,23,1,1,1,35,62,0,0,350,350,0.4694185189546055
1,5,2,60,35,2,1,1,75,60,3000,400,1150,1406,0.4245985180598077
0,2,2,60,47,2,1,1,90,86,4500,0,1200,1497,0.4003041877433486
1,13,1,36,28,2,1,1,59,143,0,0,1400,1600,0.31312508462789085
1,27,1,60,50,2,2,1,87,120,0,0,1300,1350,0.19680409105005636
1,3,6,60,25,1,1,1,35,283,0,0,2000,2032,0.24494083757922722
0,0,2,36,39,2,1,1,60,138,3000,0,1400,2610,0.1988152518574717
0,1,3,12,46,2,1,4,90,90,2000,600,500,1193,0.45668704125717036
1,1,1,60,36,2,2,1,85,99,0,0,1200,1275,0.7711583410451975
1,10,2,36,39,2,2,3,75,160,15000,0,3250,3750,0.7952250907089302
0,1,2,60,25,2,1,2,60,330,9000,3500,1300,2500,0.04190735188244744
0,6,2,36,49,2,1,3,60,100,22000,0,1000,1790,0.11123691652648057
1,3,1,48,52,2,1,1,96,210,0,0,1400,1419,0.400263921844656
0,10,1,30,34,4,1,1,45,100,0,0,700,1480,0.15639770634232944
0,0,2,36,24,1,1,2,45,97,8000,0,600,1542,0.1766800903526996
0,6,2,48,24,2,1,1,45,227,3000,0,600,1380,0.04755861408681416
0,5,2,42,33,2,2,1,45,140,22000,2500,1200,1888,0.23587891069768546
1,1,1,48,31,2,1,1,87,115,0,0,1100,1672,0.4093483339944069
0,37,2,48,63,2,1,1,60,150,3500,0,700,808,0.00990098509004307
1,1,5,60,23,1,1,1,35,90,0,0,1100,1107,0.4512062025299678
0,40,2,42,61,2,1,1,90,275,12000,0,1000,1335,0.002605886702376413
0,5,5,60,28,1,1,1,35,176,0,0,1190,1390,0.17925897134142002
0,11,1,60,58,2,1,1,71,110,3000,0,1150,1363,0.18178344370475294
0,23,2,60,41,2,1,1,75,140,3000,0,1450,1482,0.11001509043270133
0,23,2,60,38,2,1,1,45,500,3500,0,1900,2357,0.004743580345606816
1,5,2,60,27,2,1,1,75,66,3000,0,600,850,0.29834992284773243
0,5,2,48,40,2,1,3,75,145,6000,0,825,1617,0.1427911361065329
0,31,2,60,59,2,1,1,60,67,6500,0,1080,1114,0.040868703023741
1,10,2,60,38,2,2,1,90,80,3000,1749,1030,1095,0.5788382748739359
0,8,6,60,28,2,1,1,45,200,0,0,700,1529,0.033018720063701365
0,2,2,36,49,2,2,3,75,154,14000,0,850,1263,0.40885806725524143
0,3,3,48,38,2,1,3,90,187,2500,750,1550,1600,0.5523179386528528
1,35,2,48,52,2,1,1,60,135,5000,0,1200,1400,0.02147539026551393
0,3,2,48,37,3,1,1,45,160,6000,3000,1000,1520,0.2092141351592898
0,25,2,60,42,2,1,1,60,133,9500,0,1500,1617,0.06243313247623134
0,8,1,60,54,2,1,3,173,230,5000,0,1100,1500,0.18859593373858782
0,2,2,60,30,2,1,1,60,154,3000,0,1000,1705,0.15641622821031734
0,2,2,30,26,2,1,1,60,50,3500,250,600,1292,0.33906517630419447
0,17,2,48,49,2,1,3,60,189,7000,0,1100,1294,0.08623926833672924
0,3,2,60,36,2,1,1,60,202,4600,1260,1400,1936,0.17800379125853694
1,4,5,48,40,2,1,3,90,20,0,0,1850,2143,0.78324016021104
1,0,2,12,61,2,1,4,60,40,4000,0,170,1394,0.21347069971111585
1,2,1,24,59,2,1,1,110,50,0,0,200,425,0.45652231360967127
0,2,2,48,49,2,1,1,45,125,4000,0,500,1600,0.058867107999470876
0,30,1,60,52,2,1,3,70,100,14500,0,1250,1563,0.03524731995566139
0,11,2,60,35,2,1,1,60,115,4000,75,1250,1284,0.25868320955649965
1,5,4,60,25,2,1,1,75,160,1000,0,890,990,0.24554228432060277
0,14,2,60,30,2,1,1,60,70,4000,2800,600,1125,0.11184290475496841
0,8,2,48,28,2,1,1,35,220,4000,0,1000,1267,0.10792898412498016
0,1,2,6,29,1,1,3,35,107,2000,0,300,1298,0.21922658113254023
1,6,2,60,32,2,1,1,75,160,2200,600,1550,1600,0.40674613926824393
0,9,2,60,45,2,1,1,75,150,3000,0,1100,1340,0.16715504833308079
1,3,2,60,26,2,1,2,45,120,6100,1500,1000,1403,0.28323136204657284
0,3,2,60,33,2,2,3,75,225,2000,0,1400,1980,0.4118246385780898
0,1,5,60,21,1,1,3,35,100,0,0,900,1290,0.3403896856136348
1,0,2,36,34,2,1,2,75,80,4500,300,600,1339,0.31904387944141943
0,6,2,60,27,1,1,1,35,208,6000,3300,1500,1559,0.2581191668122885
1,21,2,60,44,2,1,1,90,105,1150,720,200,1078,0.018138898918522352
0,17,2,60,51,2,1,1,60,98,4000,0,860,1113,0.0801647396012871
0,7,1,18,33,2,1,1,113,532,0,0,1000,2290,0.008370192825800466
0,10,2,60,35,2,1,1,60,140,4000,0,1000,1578,0.09608292760240154
0,2,2,48,38,2,1,1,75,90,7000,2000,500,1039,0.22365668163388064
0,0,1,60,28,2,1,1,76,155,0,0,800,1218,0.2814884438976496
0,2,2,60,26,2,1,1,45,120,3500,0,300,1329,0.0622893382923553
