Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Assets,Debt,Amount,Price,Income
3,5,60,29,1,1,1,35,0,0,950,1177,0.0
9,5,60,32,1,2,1,35,0,0,1490,1490,0.0
4,1,36,21,2,1,3,101,6000,0,750,850,0.0
6,1,36,38,2,1,3,95,25000,21400,800,1011,0.0
9,1,48,56,2,1,3,140,0,0,1400,1571,0.0
3,2,36,41,2,1,3,75,3000,0,1000,1000,0.0
22,6,36,46,2,1,1,45,0,0,250,270,0.0
3,2,60,54,3,1,4,35,4000,0,950,1382,0.0
30,2,36,51,2,1,3,120,15000,0,1500,1713,0.0
8,1,60,52,2,1,1,89,4000,0,800,1086,0.0
38,2,48,57,2,1,3,45,12000,0,1500,3262,0.0
2,1,60,33,2,1,1,73,0,0,1100,1610,94.19447083944053
4,2,60,33,2,1,1,75,6000,1000,600,1030,91.78220039503957
0,1,36,29,2,1,2,78,0,0,650,650,92.03148294795923
2,6,48,23,1,1,1,35,0,0,1950,2175,92.93175261503795
8,2,24,33,2,1,1,75,4500,0,400,1780,90.35040939594185
1,1,36,24,2,1,2,76,0,0,900,950,93.67334877433214
6,5,60,28,2,1,3,90,7000,0,1200,1211,89.94394981163222
5,2,60,27,2,1,1,45,5000,1400,1600,1650,90.88404806193158
13,5,36,33,1,1,1,35,0,0,350,350,90.6810339935059
11,1,60,32,2,1,1,79,0,0,950,1117,91.29350880868776
10,2,24,39,2,1,1,45,9000,3000,1500,2468,89.86094164011091
20,2,60,51,2,1,3,90,12500,2500,1340,1740,91.88542748664271
13,2,48,29,2,1,1,60,3000,0,670,963,93.31014432988464
2,2,36,32,2,1,1,75,1500,400,1200,1646,91.80912636581868
3,2,36,40,2,2,3,35,10000,0,800,800,91.43945077450152
12,2,36,47,2,1,1,75,3500,0,460,470,92.62666804375142
20,2,24,66,2,1,1,45,10000,0,950,1370,89.3414353591433
3,3,48,39,4,1,3,35,4000,1500,700,839,89.71011411792992
27,2,60,50,2,1,1,75,5500,1000,600,1346,92.4040240437396
4,1,60,25,2,1,1,57,0,0,900,1350,93.49279317195051
1,2,60,27,2,1,2,75,4000,3000,1800,2100,92.89592242352198
18,1,60,54,2,1,1,66,0,0,1300,1307,95.22795640586985
12,1,60,42,2,1,1,114,0,0,1100,1126,92.48871825360689
12,2,48,35,4,1,3,45,200000,0,2380,4786,91.47434918040828
0,5,60,23,1,1,2,35,0,0,1400,1478,94.49430584775985
12,2,60,52,2,1,1,75,12000,0,1550,1568,95.92594891091733
0,5,24,22,1,1,2,35,0,0,650,1056,92.984781924319
10,6,18,48,2,1,1,90,0,0,1000,1608,94.29851529560732
2,2,60,25,2,1,1,75,3000,0,950,1179,92.77995311610506
10,6,60,26,2,1,1,45,0,0,1400,1524,95.903884419087
8,2,60,28,2,1,1,75,4000,0,1300,1730,93.03914327635984
20,2,30,62,2,1,3,60,24000,9000,600,823,89.9955001035267
0,1,60,33,2,1,3,65,0,0,700,800,92.01691177759612
16,5,60,41,2,1,1,75,0,0,1300,1482,91.0754137996298
4,2,60,29,2,1,2,60,5000,2500,900,1110,92.57713669158612
1,1,60,37,1,1,1,45,0,0,1150,1555,94.3790604211301
0,2,60,31,2,1,1,60,3500,0,1100,1170,95.42025852465196
15,2,12,50,2,1,3,45,2000,0,500,886,92.68294563299953
13,1,60,42,4,2,1,47,0,0,800,1395,94.70633504713592
19,2,36,33,2,1,1,60,6700,2000,1000,2084,88.48532557178852
15,2,24,54,2,1,3,90,150000,0,3800,8800,89.51367202500593
9,1,60,40,2,1,1,119,6000,1947,900,1211,92.738498010171
12,5,60,31,4,2,1,35,0,0,1300,1300,90.81290683414237
0,2,36,35,2,2,1,105,5200,2000,850,850,92.39030971804287
14,2,60,64,2,1,3,60,10000,0,700,1204,93.6396630358827
10,5,24,29,1,1,3,35,0,0,600,1528,89.554649813487
2,2,48,33,2,1,1,45,6000,0,1200,1298,90.94767944071333
15,2,18,35,2,1,3,60,4000,0,300,600,92.03705183208373
1,5,48,28,1,1,1,35,0,0,1000,1320,92.58643932067264
0,6,60,25,2,1,2,60,0,0,1300,1380,93.9823279606691
0,5,60,23,1,1,2,35,0,0,1400,1426,90.5063400299052
3,2,24,30,2,1,3,75,12000,900,1500,5200,91.45623509808458
8,1,36,36,2,1,1,78,0,0,900,1503,91.19217904313196
5,6,60,22,1,1,1,45,0,0,700,1422,93.14874413324974
9,2,24,45,2,1,1,75,4000,0,500,1430,90.93891989896285
4,2,30,47,2,1,3,90,15000,0,1550,1578,88.9198633119225
14,3,48,36,2,1,1,75,3500,200,1100,1250,92.81336463024228
3,2,36,36,1,2,3,35,16000,0,1500,2260,88.87297307632973
22,1,36,60,2,1,1,60,0,0,200,280,88.35424001937746
20,1,48,59,2,1,1,57,0,0,800,1298,95.06651592331457
6,2,48,58,2,2,3,60,86000,0,930,945,93.9346096169059
23,2,12,37,2,1,1,45,5000,0,900,1694,90.9178478026652
5,2,36,32,2,1,3,75,6000,0,600,700,93.37341980472551
8,1,48,26,1,1,1,42,0,0,600,1290,89.12912405952385
5,2,60,40,2,1,1,75,4900,0,1300,1581,94.97834918098444
20,2,48,55,2,1,1,45,5000,0,1000,1383,93.84415123606215
11,1,60,30,2,1,1,77,0,0,1350,1637,91.69013852868648
25,5,54,43,2,1,1,75,7000,0,1275,1275,92.43999236121162
2,1,60,28,2,1,1,74,0,0,1400,1400,96.2122492706948
20,2,24,47,2,1,3,75,5000,0,600,832,91.66535365237444
9,2,36,29,1,1,1,35,3500,0,1886,2886,93.31894803079496
18,5,60,34,2,1,1,60,6550,0,600,1346,94.20676136220418
20,2,60,53,2,2,3,75,6500,0,800,1138,91.73286242984302
6,2,12,44,2,1,1,45,15000,0,300,1801,95.38285503021324
0,2,48,49,2,1,2,45,2000,0,900,1200,93.85788580223496
0,1,36,51,2,1,1,113,0,0,950,950,92.96056925368802
14,4,60,34,2,1,1,75,8000,0,1400,1589,93.65358630274854
10,2,48,42,2,1,3,75,4000,120,1200,1617,89.75013002682496
19,2,60,34,2,1,1,75,5000,0,1200,1200,92.1787549286443
11,2,60,46,2,1,1,75,3500,0,1400,2194,93.28920207887816
1,2,48,31,2,1,1,75,2500,96,1100,1642,90.76451060156846
13,6,60,31,2,1,1,60,0,0,1200,1423,92.95536808588076
4,1,12,33,2,1,1,78,0,0,600,1600,94.13749544384639
9,1,24,30,1,2,1,46,0,0,700,700,94.28099741257611
1,2,24,27,2,1,1,45,3000,3700,200,300,90.40572845168452
4,2,36,48,2,1,3,120,5000,0,1000,1165,95.08102414000743
2,2,60,33,2,1,1,75,6000,0,1000,1365,89.4474306565088
2,2,12,44,2,1,1,90,7500,0,500,1706,91.5629561483794
21,2,60,57,2,1,3,60,8000,0,1000,1700,93.4807819407673
12,2,60,34,2,2,1,75,5500,4000,950,1462,92.99713755546435
9,1,60,38,2,1,1,87,0,0,1177,1300,92.1382709938566
2,1,36,35,2,1,1,126,0,0,870,1122,90.61612205331842
24,2,60,52,2,1,1,45,4000,0,1200,1257,91.1567949501099
1,5,60,28,1,1,2,35,0,0,1050,1387,95.44123913060213
15,2,48,46,2,1,1,90,12000,0,1000,1266,91.64641476131393
19,2,60,56,2,2,1,45,8000,0,1700,2195,93.47436187072113
10,2,24,52,2,1,1,75,4500,700,700,2004,95.3712535913611
19,2,60,35,2,1,1,75,4000,0,1100,1203,91.9526958065141
4,5,48,29,2,1,1,45,0,0,1200,1374,93.61725464149683
1,5,60,22,1,1,1,35,3000,0,1500,1514,92.2711933983256
2,2,24,33,2,2,1,75,2000,900,400,750,93.09571751654107
5,2,24,41,2,1,3,105,10000,0,800,1894,94.25309275303452
11,2,36,37,2,1,1,75,3000,0,1000,1048,90.20765594419694
23,2,24,46,2,1,1,75,4000,0,400,1369,94.45040290989164
4,6,36,19,1,1,2,35,0,0,1000,1035,94.12238059565594
5,5,36,22,1,1,1,35,0,0,750,1218,93.4555890292823
15,5,60,31,2,1,1,45,0,0,1200,1637,89.83435179267927
1,3,60,44,2,1,2,45,2000,0,750,953,92.65268840956868
9,2,60,48,2,2,1,60,2500,0,1100,1212,96.14483419930261
4,3,36,31,2,1,1,60,3000,0,1000,1218,92.98161316053661
20,2,24,53,2,1,3,45,100000,0,1000,1419,93.11247648488467
10,6,60,36,2,1,1,90,3000,0,1100,1100,90.69839246175094
2,3,60,46,2,1,3,105,4000,500,900,987,89.7313034404109
15,2,60,37,2,1,1,60,7000,0,1900,2400,90.68739887295608
8,2,60,34,2,1,1,60,6300,4000,1370,1375,92.15286863720435
4,2,48,36,2,1,1,60,4000,0,1000,1595,94.0859089964231
4,2,60,64,1,1,4,35,9000,0,984,1054,93.59698206112978
1,2,36,27,1,1,1,35,9000,0,1000,1651,91.20902790639654
10,2,30,26,2,1,1,75,1434,0,300,1542,92.47950378013527
32,2,60,53,2,1,1,60,5000,0,2000,2014,91.93247229642515
12,2,60,50,2,1,1,45,9500,200,1800,2624,92.44667361858586
0,5,60,21,1,1,2,35,0,0,1000,1135,93.08437384679385
20,5,24,40,1,1,1,35,0,0,600,1105,91.75389148631706
6,1,60,49,2,2,2,100,30000,0,1500,1500,90.35644104614272
4,1,24,40,2,2,1,56,0,0,800,1200,94.25316982393286
1,1,60,37,1,1,1,45,0,0,1150,1555,93.26386614302469
2,1,48,25,2,1,1,57,0,0,800,2251,98.05968107519227
25,2,18,40,2,1,1,45,4000,0,455,1542,93.86329632952742
1,1,36,22,2,1,1,62,0,0,1200,2186,93.16593740071967
10,2,48,49,2,1,3,45,9000,0,1700,1700,90.51182412386949
2,2,60,34,2,1,1,45,7000,0,600,1180,90.47318782286656
20,2,36,42,2,1,3,90,4500,0,1500,1750,91.0940563447235
10,2,48,28,2,2,2,60,2500,1500,600,875,95.49627674908221
1,2,60,30,2,1,3,35,3500,1000,1000,1514,94.19126075196326
1,2,60,25,4,2,2,45,6000,3500,1700,1950,92.91187951822792
0,5,60,22,1,1,2,35,0,0,950,1462,90.0617009521336
5,5,36,27,1,1,1,35,4000,0,600,1098,88.03512583062994
3,5,60,26,1,1,1,45,0,0,800,840,92.10358978241227
0,2,48,28,2,1,1,45,1500,0,1260,1634,92.26728426812333
6,2,48,35,2,1,3,45,7000,0,1540,1603,93.75840914209056
21,3,60,51,2,1,1,45,3000,0,1200,1200,91.77810695482536
5,1,60,24,2,1,1,73,0,0,700,1360,91.1695662501057
12,1,60,34,2,1,1,94,0,0,1200,1236,88.20755894052304
13,2,42,34,2,1,1,105,2500,300,1100,1395,89.02603808350395
10,2,60,49,2,1,3,60,23000,0,1200,1390,89.90603056962837
6,2,60,28,2,1,1,60,5000,0,700,1355,95.41589057237027
18,1,60,57,2,1,1,77,4000,0,1300,1604,94.38975378630508
15,2,60,63,2,1,1,60,3500,266,1000,1241,95.61788488427214
0,1,12,37,2,1,4,88,0,0,250,375,90.76131825620222
2,2,36,27,2,1,1,45,6000,0,700,1045,94.3038289763814
18,1,60,39,2,1,1,93,0,0,800,1781,91.32146171000889
12,2,36,64,1,2,3,60,4500,0,900,900,89.68876846611438
25,2,48,49,2,1,3,105,12000,4200,1660,1698,91.96676658760911
8,2,12,49,2,1,3,60,6000,0,200,1048,93.4607070187389
20,2,36,45,2,1,3,75,5000,0,1000,2200,90.58367102788239
3,5,60,27,1,1,1,35,5000,0,770,1119,93.42900249722395
2,5,36,30,2,1,1,45,0,0,700,1090,93.93975737434263
2,2,36,33,2,1,3,75,16000,500,3000,4100,91.49538749228321
15,2,36,40,2,1,1,60,8500,480,700,1400,95.92743264483298
3,2,60,30,4,1,1,60,15000,0,1000,2010,92.25110411282007
4,5,12,30,2,1,1,60,16000,0,1900,2014,89.78065986185365
3,2,60,25,2,1,2,60,3500,200,1000,1342,94.04707715695255
9,1,60,40,1,1,1,44,0,0,1000,1132,93.7814718044705
4,3,42,50,2,1,3,60,7000,0,900,1048,92.38661258660073
2,2,36,23,1,1,1,35,5500,0,750,1218,92.83430666655183
1,6,48,28,1,1,2,35,0,0,900,1114,89.52804856767607
2,1,60,27,2,1,1,56,0,0,650,2132,93.04806152806376
2,5,36,19,2,1,1,35,4000,100,400,570,87.36384708476119
3,5,60,39,2,1,1,45,0,0,1000,1094,90.85544624763818
8,3,36,39,2,1,1,75,2500,0,550,550,95.69352568826169
10,2,48,55,3,1,1,35,9000,0,1200,1255,94.88874510031889
10,2,36,32,2,1,3,60,40000,3000,2000,4138,92.30389561080399
5,2,60,54,2,1,3,60,6000,1700,1700,1714,91.43329747297551
20,2,48,58,2,1,3,60,35000,0,1100,1150,92.19234165534444
5,2,24,37,2,1,3,75,14000,0,1500,2673,93.11961326480277
20,5,60,36,2,1,3,60,0,0,1200,1630,94.03881613549952
12,2,60,28,2,1,1,45,6000,400,1100,1544,93.30550615488212
13,2,60,38,2,1,1,75,6500,3600,1000,1195,93.3124247625096
11,2,36,26,2,1,1,60,5000,1300,400,1206,94.82367314236876
17,2,60,41,2,1,3,75,13500,3700,1400,2050,91.14301089030225
6,2,36,42,2,1,1,60,6000,0,1200,1513,93.437858163333
22,2,6,46,2,1,3,90,75000,0,3000,3300,95.74685967002175
25,1,60,52,2,1,1,73,0,0,1030,1250,95.12995139935715
8,2,60,30,2,1,2,60,3000,500,1000,1339,89.62894174725909
19,2,60,47,2,2,3,90,12500,1000,875,875,91.48148994658563
3,2,18,66,2,1,4,45,12000,0,500,1101,90.428412602828
35,2,60,54,2,1,1,45,4000,0,1000,1568,92.32569135371115
0,2,42,65,2,1,4,45,4000,2000,750,1194,91.81095249804861
7,6,60,25,2,1,1,45,0,0,950,1378,93.31833317881019
3,2,60,31,1,1,1,35,4000,0,1050,1139,95.23814110042201
1,5,24,23,1,1,1,35,0,0,350,350,92.48224463466711
5,2,60,35,2,1,1,75,3000,400,1150,1406,90.0731224245651
2,2,60,47,2,1,1,90,4500,0,1200,1497,94.08941568399887
13,1,36,28,2,1,1,59,0,0,1400,1600,95.42649665125278
27,1,60,50,2,2,1,87,0,0,1300,1350,97.10251425285661
3,6,60,25,1,1,1,35,0,0,2000,2032,90.57345753418588
0,2,36,39,2,1,1,60,3000,0,1400,2610,92.08247807994728
1,3,12,46,2,1,4,90,2000,600,500,1193,90.04495460449367
1,1,60,36,2,2,1,85,0,0,1200,1275,94.39883548483935
10,2,36,39,2,2,3,75,15000,0,3250,3750,91.85189680888851
1,2,60,25,2,1,2,60,9000,3500,1300,2500,93.1952106960508
6,2,36,49,2,1,3,60,22000,0,1000,1790,92.7013022508417
3,1,48,52,2,1,1,96,0,0,1400,1419,93.14368785176362
10,1,30,34,4,1,1,45,0,0,700,1480,95.68788470642608
0,2,36,24,1,1,2,45,8000,0,600,1542,94.0613622304775
6,2,48,24,2,1,1,45,3000,0,600,1380,93.16027851814333
5,2,42,33,2,2,1,45,22000,2500,1200,1888,91.27098251570182
1,1,48,31,2,1,1,87,0,0,1100,1672,92.76367343414623
37,2,48,63,2,1,1,60,3500,0,700,808,91.46437912038812
1,5,60,23,1,1,1,35,0,0,1100,1107,91.2192976164657
40,2,42,61,2,1,1,90,12000,0,1000,1335,89.44482950628807
5,5,60,28,1,1,1,35,0,0,1190,1390,90.43296632346623
11,1,60,58,2,1,1,71,3000,0,1150,1363,93.404907339639
23,2,60,41,2,1,1,75,3000,0,1450,1482,94.3277773814251
23,2,60,38,2,1,1,45,3500,0,1900,2357,91.20985502948803
5,2,60,27,2,1,1,75,3000,0,600,850,90.5782170386517
5,2,48,40,2,1,3,75,6000,0,825,1617,93.90909542343203
31,2,60,59,2,1,1,60,6500,0,1080,1114,93.30774973228701
10,2,60,38,2,2,1,90,3000,1749,1030,1095,94.2361965886308
8,6,60,28,2,1,1,45,0,0,700,1529,92.46893222967756
2,2,36,49,2,2,3,75,14000,0,850,1263,92.01209883826965
3,3,48,38,2,1,3,90,2500,750,1550,1600,90.18081843802692
35,2,48,52,2,1,1,60,5000,0,1200,1400,93.15264865442347
3,2,48,37,3,1,1,45,6000,3000,1000,1520,93.68356139611417
25,2,60,42,2,1,1,60,9500,0,1500,1617,91.08075895135198
8,1,60,54,2,1,3,173,5000,0,1100,1500,93.01773802516729
2,2,60,30,2,1,1,60,3000,0,1000,1705,92.98068129901829
2,2,30,26,2,1,1,60,3500,250,600,1292,92.45132568085641
17,2,48,49,2,1,3,60,7000,0,1100,1294,91.1549115162178
3,2,60,36,2,1,1,60,4600,1260,1400,1936,94.80051542112245
4,5,48,40,2,1,3,90,0,0,1850,2143,89.07165819218753
0,2,12,61,2,1,4,60,4000,0,170,1394,93.74677725983264
2,1,24,59,2,1,1,110,0,0,200,425,92.53110868196161
2,2,48,49,2,1,1,45,4000,0,500,1600,95.0452438106627
30,1,60,52,2,1,3,70,14500,0,1250,1563,94.16409565241018
11,2,60,35,2,1,1,60,4000,75,1250,1284,91.62530490780317
5,4,60,25,2,1,1,75,1000,0,890,990,93.57082114869867
14,2,60,30,2,1,1,60,4000,2800,600,1125,92.81127032983895
8,2,48,28,2,1,1,35,4000,0,1000,1267,91.21806196588084
1,2,6,29,1,1,3,35,2000,0,300,1298,95.0042426693505
6,2,60,32,2,1,1,75,2200,600,1550,1600,96.4343880538457
9,2,60,45,2,1,1,75,3000,0,1100,1340,93.27587046421931
3,2,60,26,2,1,2,45,6100,1500,1000,1403,94.675803540842
3,2,60,33,2,2,3,75,2000,0,1400,1980,85.7808774950515
1,5,60,21,1,1,3,35,0,0,900,1290,93.99920663032508
0,2,36,34,2,1,2,75,4500,300,600,1339,94.56655213500434
6,2,60,27,1,1,1,35,6000,3300,1500,1559,97.1661216383894
21,2,60,44,2,1,1,90,1150,720,200,1078,88.73092681513762
17,2,60,51,2,1,1,60,4000,0,860,1113,91.42832485302681
7,1,18,33,2,1,1,113,0,0,1000,2290,92.74735024982078
10,2,60,35,2,1,1,60,4000,0,1000,1578,93.47276709859516
2,2,48,38,2,1,1,75,7000,2000,500,1039,91.20105930351404
0,1,60,28,2,1,1,76,0,0,800,1218,90.92554177751902
2,2,60,26,2,1,1,45,3500,0,300,1329,89.2980779253976
10,2,36,34,2,1,1,90,3000,250,300,500,96.51935322393386
6,2,60,27,2,1,1,45,2000,1000,1300,1384,91.33825026220089
7,2,60,32,2,1,2,75,3500,0,1300,1553,91.27906590458811
18,2,48,43,1,1,1,35,2500,0,1000,1626,90.19101736939827
3,2,18,30,1,1,2,35,5000,0,1100,1674,92.69718502207769
6,2,18,42,2,1,3,90,4000,34,200,1500,89.07634897748076
0,1,36,26,2,1,2,72,1000,0,600,1421,92.24088464291621
0,2,24,20,1,1,4,60,2000,0,400,480,92.73291605301087
8,1,48,24,1,1,1,49,0,0,1000,1274,94.53838421980288
4,1,48,27,2,1,1,58,0,0,1200,1580,95.69867657595324
1,1,36,35,2,1,3,66,4000,0,1000,1300,92.25084723208131
1,5,48,18,1,1,2,35,0,0,1150,1314,93.57913234171137
3,2,24,35,2,1,1,75,1800,0,200,957,90.82875517073143
10,1,60,33,2,1,3,75,2700,0,1000,1500,93.55514939115233
8,3,36,39,2,1,1,60,4000,1500,1300,1504,90.42335809952225
20,5,60,36,2,1,1,60,0,0,850,935,92.19565393674552
3,5,48,29,1,1,1,35,0,0,1000,1028,90.17680342708724
1,5,48,23,1,1,1,35,0,0,1300,1440,92.91724809725888
19,2,12,34,2,1,3,75,32000,0,500,1030,93.67009734190802
2,1,48,57,2,1,4,68,0,0,1200,1366,90.41996085078789
11,2,60,38,2,2,1,90,4000,0,1700,1768,88.59693452329984
1,2,48,42,2,2,3,75,9000,4500,1400,1700,93.249134739677
15,2,60,44,2,1,3,60,10000,0,910,1450,88.98243658535479
10,2,48,37,5,1,1,35,3500,450,500,1155,91.9130789432089
1,3,48,34,2,2,3,45,3000,1500,1000,1191,90.04953787954227
25,2,12,43,2,1,3,75,100000,0,600,841,87.97700646306836
4,1,60,42,5,2,1,70,0,0,2200,2441,90.78097256001534
0,6,48,24,2,1,1,60,0,0,1200,1516,91.35376847366314
1,2,60,36,1,1,3,60,4500,1500,400,1591,90.85788035054759
2,5,60,52,2,2,3,75,5000,0,1350,1999,94.36165810353252
0,1,36,34,4,1,1,49,0,0,1150,1600,90.87368172150222
16,5,60,31,2,1,1,45,0,0,1400,1850,89.83991403198745
8,2,60,36,2,1,3,75,2600,0,1400,1775,93.14197013638997
20,5,36,50,2,1,3,45,20000,0,700,1224,90.76584274754137
5,5,60,33,2,1,1,45,0,0,1500,1663,93.32343819975512
20,2,60,54,2,1,1,60,1500,0,1250,1500,91.88526306789164
5,1,60,40,2,2,1,66,0,0,1900,2225,94.46922907204782
1,2,60,29,2,1,1,45,6000,1810,1600,1930,89.71831615448788
3,2,60,31,2,1,1,45,4500,2500,1400,1607,92.61016676463397
2,1,36,32,2,1,1,63,0,0,1000,1230,92.98563002267261
3,2,24,51,2,1,1,45,20000,0,1400,1581,94.98991508025904
7,1,60,31,2,1,1,67,0,0,790,1072,93.73229560195476
9,1,36,46,2,1,1,84,0,0,1200,1471,91.85938024152254
1,2,60,35,2,1,3,90,5000,100,500,1300,91.0803294976291
14,5,60,33,1,1,1,35,0,0,1150,1192,95.16065590006014
6,6,48,25,1,1,1,35,0,0,2400,2700,90.99059942094613
0,6,36,31,2,1,1,75,0,0,450,500,92.46854949901181
2,5,48,30,2,1,1,60,0,0,1350,1770,94.12239134167037
1,1,48,40,2,1,4,82,0,0,1100,1197,93.81150652671383
12,1,60,37,2,2,1,86,0,0,700,950,92.9332930458005
1,5,36,22,1,2,2,35,0,0,425,450,89.468385684109
0,5,60,24,1,2,2,35,0,0,1400,1707,94.39378996060498
11,2,36,27,2,1,1,60,7000,0,900,1201,90.79368347359194
9,1,60,32,2,2,3,71,0,0,1135,1355,93.46631073612996
13,2,60,43,2,1,1,60,3000,0,890,1196,92.05034066597167
29,1,60,57,2,1,1,80,0,0,1100,1297,92.49719618947924
33,2,48,59,2,2,1,45,10000,0,1200,1420,88.05678792095863
3,1,48,60,3,1,3,54,0,0,850,1036,94.70400984418555
0,1,60,25,1,1,1,51,0,0,800,1201,93.72370122074982
5,5,60,28,2,1,1,60,1800,0,1000,1527,90.03607380287687
3,2,60,40,2,1,3,75,2500,0,1300,1500,92.62233480412894
21,1,48,36,2,1,1,86,0,0,950,1057,96.29528688692128
6,2,48,27,2,1,3,60,4300,900,1500,2127,91.29083030682264
25,2,60,44,2,1,1,45,2500,0,1200,1570,96.77994594593136
